am_sid,sciname,reviewed,iucn_sid,popn_trend,popn_category,category_score,spp_group,id_no,spatial_source,name_verified,area_total,area_am,area_iucn,area_overlap,sm_perc,sm_range,area_ratio,lg_area_pct,spp_group_text,occurcells,n_spp,quad
ITS-Mam-180633,Arctocephalus australis,1,2055,Increasing,LC,0,MARINE_MAMMALS,2055,iucn,TRUE,3023917.8,2534036.9,2507693.2,2017812.2847574,80.465,IUCN,98.96,0.684,Marine Mammals,44,107,q1
ITS-Mam-180634,Arctocephalus galapagoensis,1,2057,Decreasing,EN,0.6,MARINE_MAMMALS,2057,iucn,TRUE,184604.8,119996.8,159989.9,95381.8614211909,79.487,AM,75.003,0.043,Marine Mammals,13,107,q1
ITS-Mam-180630,Arctocephalus gazella,1,2058,Increasing,LC,0,MARINE_MAMMALS,2058,iucn,TRUE,64653590.8,64421657,18196138.8,17964205.0382534,98.725,IUCN,28.245,17.389,Marine Mammals,1565,107,q2
ITS-Mam-180632,Arctocephalus tropicalis,NA,2058,Increasing,LC,0,MARINE_MAMMALS,2058,iucn,TRUE,64653590.8,64421657,18196138.8,17964205.0382534,98.725,IUCN,28.245,17.389,Marine Mammals,65,107,q2
ITS-180635,Arctocephalus philippii,1,2059,Increasing,LC,0,MARINE_MAMMALS,2059,iucn,TRUE,5065807.5,3979835.1,4075352.8,2989380.37706702,75.113,AM,97.656,1.1,Marine Mammals,0,107,q1
ITS-Mam-180629,Arctocephalus pusillus,1,2060,Increasing,LC,0,MARINE_MAMMALS,2060,iucn,TRUE,2280992.8,1851246.6,1570332.4,1140586.18645899,72.633,IUCN,84.826,0.5,Marine Mammals,66,107,q1
ITS-Mam-180636,Arctocephalus townsendi,1,2061,Increasing,LC,0,MARINE_MAMMALS,2061,iucn,TRUE,2517251.5,1961328.9,1520243.7,964321.073049447,63.432,IUCN,77.511,0.529,Marine Mammals,29,107,q1
ITS-Mam-180533,Balaena mysticetus,1,2467,Increasing,LC,0,MARINE_MAMMALS,2467,iucn_parent,TRUE,13307579.5,9521551.3,10831736,7045707.81155766,73.997,AM,87.904,2.924,Marine Mammals,79,107,q1
ITS-Mam-180524,Balaenoptera acutorostrata,1,2474,Stable,LC,0,MARINE_MAMMALS,2474,iucn,TRUE,370463585.3,364700724.4,355058173.2,349295312.289766,98.377,IUCN,97.356,98.444,Marine Mammals,2063,107,q1
ITS-Mam-180526,Balaenoptera borealis,1,2475,Unknown,EN,0.6,MARINE_MAMMALS,2475,iucn,TRUE,339116202.7,278490766.9,322615388.9,261989953.043294,94.075,AM,86.323,87.084,Marine Mammals,1150,107,q1
