"am_sid","sciname","reviewed","iucn_sid","popn_trend","popn_category","spp_group","id_no","spatial_source","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area","area_ratio","lg_area_pct","spp_group_text","occurcells"
"ITS-Mam-180633","Arctocephalus australis",1,2055,"Increasing","LC","MARINE_MAMMALS",2055,"iucn",3023917.8,2534036.9,2507693.2,68.368,17.469,14.162,0,"IUCN",14.922,98.96,0.684,NA,44
"ITS-Mam-180634","Arctocephalus galapagoensis",1,2057,"Decreasing","EN","MARINE_MAMMALS",2057,"iucn",184604.8,119996.8,159989.9,51.667,13.333,35,0,"AM",12.126,75.003,0.043,NA,13
"ITS-Mam-180630","Arctocephalus gazella",1,2058,"Increasing","LC","MARINE_MAMMALS",2058,"iucn",48860395.6,48628461.9,18196138.8,39.411,59.947,0.641,0,"IUCN",17.704,37.419,13.126,NA,1565
"ITS-180635","Arctocephalus philippii",1,2059,"Increasing","LC","MARINE_MAMMALS",2059,"iucn",5065807.5,3979835.1,4075352.8,59.391,19.814,20.795,0,"AM",15.438,97.656,1.1,NA,0
"ITS-Mam-180629","Arctocephalus pusillus",1,2060,"Increasing","LC","MARINE_MAMMALS",2060,"iucn",2280992.8,1851246.6,1570332.4,50.169,31.186,18.644,0,"IUCN",14.64,84.826,0.5,NA,66
"ITS-Mam-180636","Arctocephalus townsendi",1,2061,"Increasing","LC","MARINE_MAMMALS",2061,"iucn",2517251.5,1961328.9,1520243.7,37.197,41.728,21.075,0,"IUCN",14.739,77.511,0.529,NA,29
"ITS-Mam-180632","Arctocephalus tropicalis",NA,2062,"Increasing","LC","MARINE_MAMMALS",2062,"iucn",41905343.6,38856793.7,14198308.7,27.73,63.442,8.828,0,"IUCN",17.551,36.54,10.489,NA,65
"ITS-Mam-180533","Balaena mysticetus",1,2467,"Increasing","LC","MARINE_MAMMALS",2467,"iucn_parent",13307579.5,9521551.3,10831736,51.931,15.46,32.61,0,"AM",16.404,87.904,2.924,NA,79
"ITS-Mam-180524","Balaenoptera acutorostrata",1,2474,"Stable","LC","MARINE_MAMMALS",2474,"iucn",370463585.3,364700724.4,355058173.2,84.196,14.403,1.401,0,"IUCN",19.73,97.356,98.444,NA,2063
"ITS-Mam-180526","Balaenoptera borealis",1,2475,"Unknown","EN","MARINE_MAMMALS",2475,"iucn",339116202.7,278490766.9,322615388.9,77.047,7.545,15.408,0,"AM",19.642,86.323,87.084,NA,1150
"ITS-Mam-180525","Balaenoptera edeni",1,2476,"Unknown","DD","MARINE_MAMMALS",2476,"iucn",265922207.8,265922207.8,0,0,100,0,NA,"IUCN",19.399,0,71.781,NA,74
"ITS-Mam-180528","Balaenoptera musculus",1,2477,"Increasing","EN","MARINE_MAMMALS",2477,"iucn_parent",356795625.5,343395161.6,350957422.9,90.738,3.233,6.029,0,"AM",19.693,97.845,94.735,NA,2008
"ITS-Mam-180527","Balaenoptera physalus",1,2478,"Unknown","EN","MARINE_MAMMALS",2478,"iucn_parent",364184407.5,360065829.6,210623694.4,61.904,35.538,2.559,0,"IUCN",19.713,58.496,97.193,NA,3027
"ITS-Mam-612592","Balaenoptera bonaerensis",1,2480,"Unknown","DD","MARINE_MAMMALS",2480,"iucn",138235797.3,138235797.3,0,0,100,0,NA,"IUCN",18.744,0,37.314,NA,375
"ITS-Mam-180495","Berardius arnuxii",1,2762,"Unknown","DD","MARINE_MAMMALS",2762,"iucn",147706497.5,147706497.5,0,0,100,0,NA,"IUCN",18.811,0,39.871,NA,52
"ITS-Mam-180496","Berardius bairdii",1,2763,"Unknown","DD","MARINE_MAMMALS",2763,"iucn",25741626.8,25741626.8,0,0,100,0,NA,"IUCN",17.064,0,6.948,NA,104
"ITS-Mam-180627","Callorhinus ursinus",1,3590,"Decreasing","VU","MARINE_MAMMALS",3590,"iucn",21657026.3,20359671,17932429.4,79.045,15.24,5.715,0,"IUCN",16.891,88.078,5.496,NA,299
"ITS-Mam-180535","Caperea marginata",1,3778,"Unknown","DD","MARINE_MAMMALS",3778,"iucn",99750822.7,99750822.7,0,0,100,0,NA,"IUCN",18.418,0,26.926,NA,59
"Rep-2666","Caretta caretta",1,3897,NA,"VU","REPTILES",3897,"iucn",289573436.2,245318956.3,275114885.1,77.834,5.904,16.262,0,"AM",19.484,89.17,74.262,NA,4993
"ITS-Mam-180449","Cephalorhynchus commersonii",1,4159,"Unknown","DD","MARINE_MAMMALS",4159,"iucn",2948149.7,2948149.7,0,0,100,0,NA,"IUCN",14.897,0,0.796,NA,128
