am_sid,am_category,reviewed,sciname,name_verified
Fis-156671,NA,null,Abalistes filamentosus,TRUE
Fis-53544,NA,1,Abalistes stellaris,TRUE
Fis-142700,NA,1,Abalistes stellatus,TRUE
Fis-27725,NA,1,Ablabys taenianotus,TRUE
Fis-22975,NA,1,Ablennes hians,TRUE
Fis-26241,NA,null,Abudefduf abdominalis,TRUE
Fis-26166,NA,null,Abudefduf bengalensis,TRUE
Fis-28205,LC,null,Abudefduf concolor,TRUE
Fis-136667,LC,null,Abudefduf declivifrons,TRUE
Fis-31491,NA,1,Abudefduf lorenzi,TRUE
Fis-28218,NA,1,Abudefduf luridus,TRUE
Fis-25761,NA,1,Abudefduf notatus,TRUE
Fis-23318,NA,1,Abudefduf saxatilis,TRUE
Fis-25762,NA,null,Abudefduf septemfasciatus,TRUE
Fis-25763,NA,null,Abudefduf sexfasciatus,TRUE
Fis-25764,NA,null,Abudefduf sordidus,TRUE
Fis-26803,NA,1,Abudefduf sparoides,TRUE
Fis-23319,NA,null,Abudefduf taurus,TRUE
Fis-26922,LC,1,Abudefduf troschelii,TRUE
Fis-26228,NA,1,Abudefduf vaigiensis,TRUE
Fis-33558,NA,null,Abudefduf whitleyi,TRUE
Fis-50764,NA,1,Abyssobrotula galatheae,TRUE
Fis-22077,NA,null,Acanthaluteres brownii,TRUE
Fis-125479,NA,null,Acanthaluteres spilomelanurus,TRUE
Fis-119913,NA,null,Acanthaluteres vittiger,TRUE
Fis-115260,NA,null,Acanthaphritis barbata,TRUE
Fis-24397,NA,null,Acanthemblemaria aspera,TRUE
Fis-113559,LC,null,Acanthemblemaria balanorum,TRUE
Fis-58221,VU,null,Acanthemblemaria castroi,TRUE
Fis-113560,LC,null,Acanthemblemaria crockeri,TRUE
Fis-113577,LC,null,Acanthemblemaria exilispinus,TRUE
Fis-113583,LC,null,Acanthemblemaria hancocki,TRUE
Fis-113588,LC,null,Acanthemblemaria macrospilus,TRUE
Fis-49730,NA,null,Acanthemblemaria maria,TRUE
Fis-49731,NA,null,Acanthemblemaria spinosa,TRUE
Fis-22840,DD,1,Acanthistius brasilianus,TRUE
Fis-29237,LC,null,Acanthistius ocellatus,TRUE
Fis-26768,NA,1,Acanthistius sebastoides,TRUE
Fis-29238,NA,null,Acanthistius serratus,TRUE
Fis-27781,NA,null,Acanthocepola abbreviata,TRUE
Fis-62878,NA,null,Acanthocepola krusensternii,TRUE
Fis-27337,NA,null,Acanthocepola limbata,TRUE
Fis-131546,NA,null,Acanthochaenus luetkenii,TRUE
Fis-26242,NA,1,Acanthochromis polyacanthus,TRUE
Fis-26619,LC,null,Acantholabrus palloni,TRUE
Fis-24399,NA,null,Acantholumpenus mackayi,TRUE
Fis-33095,NA,null,Acanthonus armatus,TRUE
Fis-26855,NA,null,Acanthopagrus australis,TRUE
Fis-25680,NA,1,Acanthopagrus berda,TRUE
Fis-25176,NA,null,Acanthopagrus bifasciatus,TRUE
Fis-29194,NA,null,Acanthopagrus butcheri,TRUE
Fis-26067,NA,1,Acanthopagrus latus,TRUE
Fis-150124,NA,1,Acanthopagrus schlegelii,TRUE
Fis-51707,NA,null,Acanthoplesiops hiatti,TRUE
Fis-33019,NA,null,Acanthopsetta nadeshnyi,TRUE
Fis-57849,NA,null,Acanthosphex leurynnis,TRUE
Fis-53659,NA,1,Acanthostracion guineensis,TRUE
Fis-53665,NA,null,Acanthostracion notacanthus,TRUE
Fis-49970,NA,null,Acanthostracion polygonius,TRUE
Fis-22736,NA,1,Acanthostracion quadricornis,TRUE
Fis-30911,LC,1,Acanthurus achilles,TRUE
Fis-35635,LC,1,Acanthurus albipectoralis,TRUE
Fis-31085,LC,1,Acanthurus auranticavus,TRUE
Fis-29260,LC,1,Acanthurus bahianus,TRUE
Fis-31087,LC,1,Acanthurus blochii,TRUE
Fis-22976,LC,null,Acanthurus chirurgus,TRUE
Fis-29261,LC,1,Acanthurus coeruleus,TRUE
Fis-29579,LC,1,Acanthurus dussumieri,TRUE
Fis-31083,LC,null,Acanthurus fowleri,TRUE
Fis-51787,LC,1,Acanthurus gahhm,TRUE
Fis-31086,LC,1,Acanthurus grammoptilus,TRUE
Fis-31078,LC,null,Acanthurus guttatus,TRUE
Fis-53679,LC,null,Acanthurus japonicus,TRUE
Fis-25283,LC,1,Acanthurus leucopareius,TRUE
Fis-29580,LC,1,Acanthurus leucosternon,TRUE
Fis-23320,LC,1,Acanthurus lineatus,TRUE
Fis-25286,LC,1,Acanthurus maculiceps,TRUE
Fis-29578,LC,1,Acanthurus mata,TRUE
Fis-29581,LC,null,Acanthurus monroviae,TRUE
Fis-25952,LC,1,Acanthurus nigricans,TRUE
Fis-31084,LC,null,Acanthurus nigricauda,TRUE
Fis-25284,LC,null,Acanthurus nigrofuscus,TRUE
Fis-31079,LC,1,Acanthurus nigroris,TRUE
Fis-25281,LC,null,Acanthurus nubilus,TRUE
Fis-31082,LC,1,Acanthurus olivaceus,TRUE
Fis-31081,LC,1,Acanthurus pyroferus,TRUE
Fis-25285,LC,null,Acanthurus sohal,TRUE
Fis-4576,LC,null,Acanthurus tennentii,TRUE
Fis-25282,LC,null,Acanthurus thompsoni,TRUE
Fis-23321,LC,null,Acanthurus triostegus,TRUE
Fis-35352,LC,1,Acanthurus tristis,TRUE
Fis-29584,LC,null,Acanthurus xanthopterus,TRUE
Fis-50647,NA,null,Acentrogobius audax,TRUE
Fis-25367,NA,1,Acentrogobius caninus,TRUE
Fis-56954,NA,null,Acentrogobius cyanomos,TRUE
Fis-54058,NA,null,Acentrogobius janthinopterus,TRUE
Fis-54060,NA,null,Acentrogobius moloanus,TRUE
Fis-136797,NA,null,Acentrogobius nebulosus,TRUE
Fis-54066,NA,null,Acentrogobius suluensis,TRUE
Fis-48018,NA,null,Acentrogobius viridipunctatus,TRUE
Fis-50333,NA,null,Acentronura tentaculata,TRUE
