spp_group,iucn_sid,iucn_subpop,spatial_source,sciname,name_verified,class
TERRESTRIAL_MAMMALS,899,NA,iucn,Alopex lagopus,TRUE,Mammalia
TERRESTRIAL_MAMMALS,1793,NA,iucn,Aonyx capensis,TRUE,Mammalia
MARINE_MAMMALS,2055,NA,iucn,Arctocephalus australis,TRUE,Mammalia
MARINE_MAMMALS,2057,NA,iucn,Arctocephalus galapagoensis,TRUE,Mammalia
MARINE_MAMMALS,2058,NA,iucn,Arctocephalus gazella,TRUE,Mammalia
MARINE_MAMMALS,2059,NA,iucn,Arctocephalus philippii,TRUE,Mammalia
MARINE_MAMMALS,2060,NA,iucn,Arctocephalus pusillus,TRUE,Mammalia
MARINE_MAMMALS,2061,NA,iucn,Arctocephalus townsendi,TRUE,Mammalia
MARINE_MAMMALS,2062,NA,iucn,Arctocephalus tropicalis,TRUE,Mammalia
MARINE_MAMMALS,2467,NA,iucn,Balaena mysticetus,TRUE,Mammalia
MARINE_MAMMALS,2467,Svalbard-Barents Sea (Spitsbergen),iucn,Balaena mysticetus,TRUE,Mammalia
MARINE_MAMMALS,2467,Bering-Chukchi-Beaufort Sea,iucn,Balaena mysticetus,TRUE,Mammalia
MARINE_MAMMALS,2467,Okhotsk Sea,iucn,Balaena mysticetus,TRUE,Mammalia
MARINE_MAMMALS,2474,NA,iucn,Balaenoptera acutorostrata,TRUE,Mammalia
MARINE_MAMMALS,2475,NA,iucn,Balaenoptera borealis,TRUE,Mammalia
MARINE_MAMMALS,2476,NA,iucn,Balaenoptera brydei,TRUE,Mammalia
MARINE_MAMMALS,2477,NA,iucn,Balaenoptera musculus,TRUE,Mammalia
MARINE_MAMMALS,2478,NA,iucn,Balaenoptera physalus,TRUE,Mammalia
MARINE_MAMMALS,2480,NA,iucn,Balaenoptera bonaerensis,TRUE,Mammalia
MARINE_MAMMALS,2762,NA,iucn,Berardius arnuxii,TRUE,Mammalia
MARINE_MAMMALS,2763,NA,iucn,Berardius bairdii,TRUE,Mammalia
MARINE_MAMMALS,3590,NA,iucn,Callorhinus ursinus,TRUE,Mammalia
PUFFERFISH,3764,NA,iucn,Canthigaster rapaensis,TRUE,Actinopterygii
MARINE_MAMMALS,3778,NA,iucn,Caperea marginata,TRUE,Mammalia
REPTILES,3897,Pacific South,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Pacific North,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Mediterranean,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Indian Southwest,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Indian Southeast,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Indian Northwest,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Indian Northeast,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Atlantic Southwest,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Atlantic Notheast,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,Atlantic Northwest,iucn,Caretta caretta,TRUE,Reptilia
REPTILES,3897,NA,iucn,Caretta caretta,TRUE,Reptilia
ANGELFISH,4131,NA,iucn,Centropyge resplendens,TRUE,Actinopterygii
MARINE_MAMMALS,4159,NA,iucn,Cephalorhynchus commersonii,TRUE,Mammalia
MARINE_MAMMALS,4160,NA,iucn,Cephalorhynchus eutropia,TRUE,Mammalia
MARINE_MAMMALS,4161,NA,iucn,Cephalorhynchus heavisidii,TRUE,Mammalia
MARINE_MAMMALS,4162,NA,iucn,Cephalorhynchus hectori,TRUE,Mammalia
BUTTERFLYFISH,4360,NA,iucn,Chaetodon flavocoronatus,TRUE,Actinopterygii
BUTTERFLYFISH,4361,NA,iucn,Chaetodon litus,TRUE,Actinopterygii
BUTTERFLYFISH,4362,NA,iucn,Chaetodon marleyi,TRUE,Actinopterygii
BUTTERFLYFISH,4363,NA,iucn,Chaetodon obliquus,TRUE,Actinopterygii
BUTTERFLYFISH,4364,NA,iucn,Chaetodon robustus,TRUE,Actinopterygii
REPTILES,4615,NA,iucn,Chelonia mydas,TRUE,Reptilia
DAMSELFISH,4805,NA,iucn,Chromis sanctaehelenae,TRUE,Actinopterygii
CONESNAILS,5269,NA,iucn,Conus africanus,TRUE,Gastropoda
CONESNAILS,5270,NA,iucn,Conus cepasi,TRUE,Gastropoda
CONESNAILS,5272,NA,iucn,Conus nobrei,TRUE,Gastropoda
CONESNAILS,5273,NA,iucn,Conus zebroides,TRUE,Gastropoda
REPTILES,5659,NA,iucn,Crocodylus acutus,TRUE,Reptilia
REPTILES,5668,NA,iucn,Crocodylus porosus,TRUE,Reptilia
MARINE_MAMMALS,6204,NA,iucn,Cystophora cristata,TRUE,Mammalia
MARINE_MAMMALS,6335,NA,iucn,Delphinapterus leucas,TRUE,Mammalia
MARINE_MAMMALS,6335,Cook Inlet,iucn,Delphinapterus leucas,TRUE,Mammalia
MARINE_MAMMALS,6336,NA,iucn,Delphinus delphis,TRUE,Mammalia
MARINE_MAMMALS,6336,Mediterranean,iucn,Delphinus delphis,TRUE,Mammalia
MARINE_MAMMALS,6337,NA,iucn,Delphinus capensis,TRUE,Mammalia
REPTILES,6494,West Pacific,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,Southwest Indian,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,Southwest Atlantic,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,Southeast Atlantic,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,Northwest Atlantic,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,Northeast Indian,iucn,Dermochelys coriacea,TRUE,Reptilia
REPTILES,6494,East Pacific,iucn,Dermochelys coriacea,TRUE,Reptilia
MARINE_MAMMALS,6909,NA,iucn,Dugong dugon,TRUE,Mammalia
TERRESTRIAL_MAMMALS,7750,NA,iucn,Enhydra lutris,TRUE,Mammalia
COMBTOOTHBLENNIES,7778,NA,iucn,Entomacrodus cadenati,TRUE,Actinopterygii
GROUPERS,7854,NA,iucn,Epinephelus drummondhayi,TRUE,Actinopterygii
GROUPERS,7855,NA,iucn,Epinephelus exsul,TRUE,Actinopterygii
GROUPERS,7858,NA,iucn,Epinephelus lanceolatus,TRUE,Actinopterygii
GROUPERS,7859,NA,iucn,Epinephelus marginatus,TRUE,Actinopterygii
GROUPERS,7860,NA,iucn,Hyporthodus nigritus,TRUE,Actinopterygii
GROUPERS,7861,NA,iucn,Hyporthodus niveatus,TRUE,Actinopterygii
GROUPERS,7862,NA,iucn,Epinephelus striatus,TRUE,Actinopterygii
REPTILES,8005,NA,iucn,Eretmochelys imbricata,TRUE,Reptilia
MARINE_MAMMALS,8010,NA,iucn,Erignathus barbatus,TRUE,Mammalia
MARINE_MAMMALS,8097,Western,iucn,Eschrichtius robustus,TRUE,Mammalia
MARINE_MAMMALS,8097,NA,iucn,Eschrichtius robustus,TRUE,Mammalia
