sciname,iucn_sid,iucn_category,popn_trend,parent_sid,subpop_sid
Abantennarius analis,155277,LC,Unknown,NA,NA
Antennarius analis,155277,LC,Unknown,NA,NA
Ablennes hians,13486514,LC,Unknown,NA,NA
Ablennes pacificus,13486514,LC,Unknown,NA,NA
Belone hians,13486514,LC,Unknown,NA,NA
Belone maculata,13486514,LC,Unknown,NA,NA
Belone melanostigma,13486514,LC,Unknown,NA,NA
Belone schismatorhynchus,13486514,LC,Unknown,NA,NA
Mastacembelus fasciatus,13486514,LC,Unknown,NA,NA
Tylosurus caeruleofasciatus,13486514,LC,Unknown,NA,NA
Aboma etheostoma,183435,DD,Unknown,NA,NA
Gobiosoma polyporosum,183435,DD,Unknown,NA,NA
Aboma snyderi,181137,LC,Unknown,NA,NA
Acanthogobius flavimanus,181137,LC,Unknown,NA,NA
Acanthogobius jacoti,181137,LC,Unknown,NA,NA
Gobius cryptosquamis,181137,LC,Unknown,NA,NA
Gobius flavimanus,181137,LC,Unknown,NA,NA
Gobius stigmothonus,181137,LC,Unknown,NA,NA
Abralia affinis,163300,LC,Unknown,NA,NA
Abraliopsis affinis,163300,LC,Unknown,NA,NA
Abralia andamanica,163184,LC,Unknown,NA,NA
Abralia armata,163038,DD,Unknown,NA,NA
Onychoteuthis armatus,163038,DD,Unknown,NA,NA
Abralia astrolineata,163037,DD,Unknown,NA,NA
Abralia astrosticta,163302,LC,Unknown,NA,NA
Abralia dubia,163352,DD,Unknown,NA,NA
Enoploteuthis dubia,163352,DD,Unknown,NA,NA
Abralia fasciolata,163325,DD,Unknown,NA,NA
Abralia gilchristi,163235,LC,Unknown,NA,NA
Abraliopsis gilchristi,163235,LC,Unknown,NA,NA
Abralia grimpei,163030,DD,Unknown,NA,NA
Abralia heminuchalis,162984,DD,Unknown,NA,NA
Abralia marisarabica,163231,DD,Unknown,NA,NA
Abralia multihamata,163142,DD,Unknown,NA,NA
Abralia omiae,176067,DD,Unknown,NA,NA
Abralia redfieldi,163028,LC,Unknown,NA,NA
Abralia renschi,163134,DD,Unknown,NA,NA
Abralia robsoni,163024,DD,Unknown,NA,NA
Abralia siedleckyi,163157,DD,Unknown,NA,NA
Abralia similis,163274,LC,Unknown,NA,NA
Abralia spaercki,162922,DD,Unknown,NA,NA
Abralia steindachneri,163298,LC,Unknown,NA,NA
Abralia trigonura,163262,LC,Unknown,NA,NA
Abralia veranyi,163114,LC,Unknown,NA,NA
Enoploteuthis veranyi,163114,LC,Unknown,NA,NA
Abraliopsis atlantica,163316,DD,Unknown,NA,NA
Abraliopsis chuni,162951,DD,Unknown,NA,NA
Abraliopsis falco,163405,LC,Unknown,NA,NA
Abraliopsis felis,163094,LC,Unknown,NA,NA
Abraliopsis hoylei,163063,DD,Unknown,NA,NA
Enoploteuthis hoylei,163063,DD,Unknown,NA,NA
Abraliopsis lineata,163035,LC,Unknown,NA,NA
Abraliopsis morisi,163052,LC,Unknown,NA,NA
Abraliopsis pfefferi,163052,LC,Unknown,NA,NA
Onychoteuthis morisii,163052,LC,Unknown,NA,NA
Abraliopsis pacificus,162933,LC,Unknown,NA,NA
Abraliopsis tui,162982,DD,Unknown,NA,NA
Abudefduf analogus,188434,LC,Stable,NA,NA
Abudefduf taurus,188434,LC,Stable,NA,NA
Euchistodus analogus,188434,LC,Stable,NA,NA
Glyphidodon taurus,188434,LC,Stable,NA,NA
Abudefduf ascensionis,188581,LC,Stable,NA,NA
Abudefduf saxatilis,188581,LC,Stable,NA,NA
Abudefduf sexatilis,188581,LC,Stable,NA,NA
Apogon quinquevittatus,188581,LC,Stable,NA,NA
Chaetodon marginatus,188581,LC,Stable,NA,NA
Chaetodon mauritii,188581,LC,Stable,NA,NA
Chaetodon sargoides,188581,LC,Stable,NA,NA
Chaetodon saxatilis,188581,LC,Stable,NA,NA
Glyphisodon moucharra,188581,LC,Stable,NA,NA
Abudefduf concolor,183483,LC,Unknown,NA,NA
Euschistodus concolor,183483,LC,Unknown,NA,NA
Pomacentrus robustus,183483,LC,Unknown,NA,NA
Abudefduf declivifrons,183460,LC,Unknown,NA,NA
Euschistodus declivifrons,183460,LC,Unknown,NA,NA
Abudefduf flavipinnis,154920,LC,Stable,NA,NA
Chrysiptera flavipinna,154920,LC,Stable,NA,NA
Chrysiptera flavipinnis,154920,LC,Stable,NA,NA
Glyphidodontops flavipinnis,154920,LC,Stable,NA,NA
Abudefduf hoefleri,188621,DD,Unknown,NA,NA
Chromis bicolor,188621,DD,Unknown,NA,NA
Gliphydodon hoefleri,188621,DD,Unknown,NA,NA
Glyphidodon hoefleri,188621,DD,Unknown,NA,NA
Abudefduf luridus,188419,LC,Unknown,NA,NA
Glyphisodon luridus,188419,LC,Unknown,NA,NA
Abudefduf nigripinnis,183586,LC,Unknown,NA,NA
Pomacentrus analigutta,183586,LC,Unknown,NA,NA
Pomacentrus rectifraenum,183586,LC,Unknown,NA,NA
Stegastes rectifraenum,183586,LC,Unknown,NA,NA
Stegastes rectifraneum,183586,LC,Unknown,NA,NA
Abudefduf troschelii,183397,LC,Unknown,NA,NA
Glyphidodon troschelii,183397,LC,Unknown,NA,NA
Abyssoberyx levisquamosus,60469170,DD,Unknown,NA,NA
Abyssobrotula galatheae,60469175,LC,Unknown,NA,NA
Acalyptophis peronii,176756,LC,Stable,NA,NA
Acalyptus peronii,176756,LC,Stable,NA,NA
Acanthacaris caeca,170000,LC,Unknown,NA,NA
Acanthacaris tenuimana,169962,LC,Unknown,NA,NA
Acanthanectes hystrix,179021,LC,Unknown,NA,NA
Acanthanectes rufus,178914,LC,Unknown,NA,NA
Acantharctus delfini,185010,DD,Unknown,NA,NA
Scyllarus delfini,185010,DD,Unknown,NA,NA
Acantharctus ornatus,185031,LC,Unknown,NA,NA
Scyllarus ornatus,185031,LC,Unknown,NA,NA
Acantharctus posteli,185059,DD,Unknown,NA,NA
Scyllarus posteli,185059,DD,Unknown,NA,NA
Acanthastrea bowerbanki,133411,VU,Unknown,NA,NA
Acanthastrea brevis,133557,VU,Unknown,NA,NA
Acanthastrea echinata,133246,LC,Unknown,NA,NA
Acanthastrea faviaformis,133624,VU,Unknown,NA,NA
Acanthastrea hemprichii,133642,VU,Unknown,NA,NA
Acanthastrea hillae,133106,NT,Unknown,NA,NA
Acanthastrea ishigakiensis,133376,VU,Unknown,NA,NA
Acanthastrea lordhowensis,133366,NT,Unknown,NA,NA
Acanthastrea maxima,133490,NT,Unknown,NA,NA
Acanthastrea regularis,133326,VU,Unknown,NA,NA
Acanthastrea rotundoflora,133386,NT,Unknown,NA,NA
Acanthastrea subechinata,132929,NT,Unknown,NA,NA
Acanthemblemaria arborescens,46104116,LC,Stable,NA,NA
Acanthemblemaria aspera,46104116,LC,Stable,NA,NA
Paremblemaria aspera,46104116,LC,Stable,NA,NA
Paremblemaria erythrops,46104116,LC,Stable,NA,NA
Acanthemblemaria atrata,183583,VU,Unknown,NA,NA
Acanthemblemaria balanorum,183400,LC,Unknown,NA,NA
Acanthemblemaria betinensis,47141289,LC,Unknown,NA,NA
Acanthemblemaria castroi,183873,VU,Unknown,NA,NA
Acanthemblemaria chaplini,47141293,LC,Unknown,NA,NA
Acanthemblemaria crockeri,183505,LC,Unknown,NA,NA
Acanthemblemaria exilispinus,183629,LC,Unknown,NA,NA
Acanthemblemaria greenfieldi,47141351,LC,Unknown,NA,NA
Acanthemblemaria hancocki,183841,LC,Unknown,NA,NA
Acanthemblemaria harpeza,47141354,DD,Unknown,NA,NA
Acanthemblemaria hastingsi,185143,LC,Stable,NA,NA
Acanthemblemaria johnsoni,47141401,LC,Unknown,NA,NA
Acanthemblemaria hancocki,183219,LC,Unknown,NA,NA
Acanthemblemaria macrospilus,183219,LC,Unknown,NA,NA
Acanthemblemaria mangognatha,183525,VU,Unknown,NA,NA
Acanthemblemaria maria,47141570,LC,Unknown,NA,NA
Acanthemblemaria medusa,47141697,LC,Unknown,NA,NA
Acanthemblemaria paula,47141712,DD,Unknown,NA,NA
Acanthemblemaria rivasi,47141727,LC,Unknown,NA,NA
Acanthemblemaria spinosa,47141736,LC,Unknown,NA,NA
Acanthemblemaria variegata,47141736,LC,Unknown,NA,NA
Acanthemblemaria stephensi,183968,VU,Unknown,NA,NA
Acanthenchelys spinicauda,190308,LC,Unknown,NA,NA
Ophichthus spinicauda,190308,LC,Unknown,NA,NA
Ophichthus zonatus,190308,LC,Unknown,NA,NA
Ophychthus spinicauda,190308,LC,Unknown,NA,NA
Acanthias blainville,161536,DD,Unknown,NA,NA
Squalus blainville,161536,DD,Unknown,NA,NA
Squalus blainvillei,161536,DD,Unknown,NA,NA
Acanthidium hystricosum,161549,DD,Unknown,NA,NA
Deania hystricosa,161549,DD,Unknown,NA,NA
Acanthidium pusillum,161443,LC,Unknown,NA,NA
Etmopterus pusillus,161443,LC,Unknown,NA,NA
Acanthidium quadrispinosum,161635,NT,Unknown,NA,NA
Deania quadrispinosa,161635,NT,Unknown,NA,NA
Acanthistius brasilianus,154987,DD,Unknown,NA,NA
Plectropoma brasilianum,154987,DD,Unknown,NA,NA
Plectropoma patachonica,154987,DD,Unknown,NA,NA
Acanthistius ocellatus,155326,LC,Unknown,NA,NA
Plectropoma cyanostigma,155326,LC,Unknown,NA,NA
Plectropoma myriaster,155326,LC,Unknown,NA,NA
Plectropoma ocellatum,155326,LC,Unknown,NA,NA
Acanthistius pictus,183895,LC,Unknown,NA,NA
Plectropoma pictum,183895,LC,Unknown,NA,NA
Acanthochaenus luetkenii,190341,LC,Unknown,NA,NA
Acanthochaenus lutkeni,190341,LC,Unknown,NA,NA
Acanthochaenus lutkenii,190341,LC,Unknown,NA,NA
Stephanoberyx gillii,190341,LC,Unknown,NA,NA
Acanthochaetodon imperator,165862,LC,Stable,NA,NA
Acanthochaetodon nicobariensis,165862,LC,Stable,NA,NA
Chaetodon imperator,165862,LC,Stable,NA,NA
Chaetodon nicobariensis,165862,LC,Stable,NA,NA
Holacanthus imperator,165862,LC,Stable,NA,NA
Holacanthus nicobariensis,165862,LC,Stable,NA,NA
Pomacanthodes imperator,165862,LC,Stable,NA,NA
Pomacanthus imperator,165862,LC,Stable,NA,NA
Pomacanthus nicobariensis,165862,LC,Stable,NA,NA
Acanthocottus bubalis,198741,LC,Unknown,NA,NA
Aspicottus bubalis,198741,LC,Unknown,NA,NA
Ceratocottus bubalis,198741,LC,Unknown,NA,NA
Cottus bubalis,198741,LC,Unknown,NA,NA
Cottus maculatus,198741,LC,Unknown,NA,NA
Enophrys bubalis,198741,LC,Unknown,NA,NA
Myoxocephalus bubalis,198741,LC,Unknown,NA,NA
Taurulus bubalis,198741,LC,Unknown,NA,NA
Acanthocybium forbesi,170331,LC,Stable,NA,NA
Acanthocybium solandri,170331,LC,Stable,NA,NA
Cybium petus,170331,LC,Stable,NA,NA
Cybium sara,170331,LC,Stable,NA,NA
Cybium solandri,170331,LC,Stable,NA,NA
Cybium verany,170331,LC,Stable,NA,NA
Scomber amarui,170331,LC,Stable,NA,NA
Acantholabrus couchii,186106,LC,Unknown,NA,NA
Acantholabrus imbricatus,186106,LC,Unknown,NA,NA
Acantholabrus palloni,186106,LC,Unknown,NA,NA
Labrus pallidus,186106,LC,Unknown,NA,NA
Lutjanus palloni,186106,LC,Unknown,NA,NA
Acantholabrus exoletus,187803,LC,Unknown,NA,NA
Acantholabrus microstoma,187803,LC,Unknown,NA,NA
Centrolabrus exoletus,187803,LC,Unknown,NA,NA
Crenilabrus exoletus,187803,LC,Unknown,NA,NA
Crenilabrus microstoma,187803,LC,Unknown,NA,NA
Labrus exoletus,187803,LC,Unknown,NA,NA
Labrus pentacanthus,187803,LC,Unknown,NA,NA
Acantholabrus romerus,187455,LC,Unknown,NA,NA
Acantholabrus viridis,187455,LC,Unknown,NA,NA
Centrolabrus trutta,187455,LC,Unknown,NA,NA
Crenilabrus trutta,187455,LC,Unknown,NA,NA
Acanthonus armatus,190201,LC,Unknown,NA,NA
Acanthonus spinifer,190201,LC,Unknown,NA,NA
Acanthopagrus akazakii,170230,DD,Unknown,NA,NA
Acanthopagrus arabicus,47166659,LC,Unknown,NA,NA
Acanthopagrus australis,170257,LC,Stable,NA,NA
Chrysophrys australis,170257,LC,Stable,NA,NA
Roughleyia australis,170257,LC,Stable,NA,NA
Acanthopagrus berda,170266,LC,Unknown,NA,NA
Chrysophrys berda,170266,LC,Unknown,NA,NA
Chrysophrys calamara,170266,LC,Unknown,NA,NA
Chrysophrys madagascariensis,170266,LC,Unknown,NA,NA
Chrysophrys robinsoni,170266,LC,Unknown,NA,NA
Mylio berda,170266,LC,Unknown,NA,NA
Pagrus berda,170266,LC,Unknown,NA,NA
Pagrus robinsoni,170266,LC,Unknown,NA,NA
Sparus berda,170266,LC,Unknown,NA,NA
Sparus calamara,170266,LC,Unknown,NA,NA
Sparus hasta,170266,LC,Unknown,NA,NA
Sparus longispinnis,170266,LC,Unknown,NA,NA
Sparus madagascariensis,170266,LC,Unknown,NA,NA
Acanthopagrus bifasciatus,170239,LC,Unknown,NA,NA
Chaetodon bifasciatus,170239,LC,Unknown,NA,NA
Holocentrus rabaji,170239,LC,Unknown,NA,NA
Acanthopagrus butcheri,170189,LC,Stable,NA,NA
Mylio butcheri,170189,LC,Stable,NA,NA
Acanthopagrus catenula,47136868,DD,Unknown,NA,NA
Labrus catenula,47136868,DD,Unknown,NA,NA
Acanthopagrus chinshira,170179,NT,Unknown,NA,NA
Acanthopagrus cuvieri,170174,LC,Unknown,NA,NA
Chrysophrys cuvieri,170174,LC,Unknown,NA,NA
Dentex hasta,170174,LC,Unknown,NA,NA
Sparidentex hasta,170174,LC,Unknown,NA,NA
Acanthopagrus latus,170263,DD,Unknown,NA,NA
Mylio latus,170263,DD,Unknown,NA,NA
Sparus latus,170263,DD,Unknown,NA,NA
Acanthopagrus longispinnis,170217,DD,Unknown,NA,NA
Chrysophrys longispinnis,170217,DD,Unknown,NA,NA
Sparus longispinnis,170217,DD,Unknown,NA,NA
Acanthopagrus morrisoni,47166619,LC,Unknown,NA,NA
Acanthopagrus omanensis,170228,DD,Unknown,NA,NA
Acanthopagrus pacificus,47385652,LC,Unknown,NA,NA
Acanthopagrus palmaris,170181,LC,Unknown,NA,NA
Roughleyia palmaris,170181,LC,Unknown,NA,NA
Acanthopagrus randalli,170188,DD,Unknown,NA,NA
Acanthopagrus schlegelii,170153,LC,Stable,NA,NA
Chrysophrys schlegelii,170153,LC,Stable,NA,NA
Acanthopagrus sheim,47166662,LC,Unknown,NA,NA
Acanthopagrus sivicolus,170199,VU,Decreasing,NA,NA
Acanthopagrus taiwanensis,170235,DD,Unknown,NA,NA
Acanthopagrus vagus,170173,VU,Decreasing,NA,NA
Acanthophyllia deshayesiana,133413,NT,Unknown,NA,NA
Cynarina lacrymalis,133413,NT,Unknown,NA,NA
Acanthostracion guineensis,193767,LC,Unknown,NA,NA
Lactophrys guineensis,193767,LC,Unknown,NA,NA
Ostracion guineensis,193767,LC,Unknown,NA,NA
Acanthostracion notacanthus,193768,DD,Unknown,NA,NA
Lactophrys notacanthus,193768,DD,Unknown,NA,NA
Ostracion notacanthus,193768,DD,Unknown,NA,NA
Ostracion quadricornis notacanthus,193768,DD,Unknown,NA,NA
Acanthostracion polygonius,193646,LC,Unknown,NA,NA
Lactophrys polygonia,193646,LC,Unknown,NA,NA
Lactophrys saxatilis,193646,LC,Unknown,NA,NA
Acanthostracion quadricornis,193647,LC,Stable,NA,NA
Lactophrys quadricornis,193647,LC,Stable,NA,NA
Ostracion quadricornis,193647,LC,Stable,NA,NA
Ostracion tricornis,193647,LC,Stable,NA,NA
Acanthurus achillas,177960,LC,Stable,NA,NA
Acanthurus achilles,177960,LC,Stable,NA,NA
Acanthurus aterrimus,177960,LC,Stable,NA,NA
Hepatus achilles,177960,LC,Stable,NA,NA
Hepatus aterrimus,177960,LC,Stable,NA,NA
Teuthis achilles,177960,LC,Stable,NA,NA
Teuthis aterrimus,177960,LC,Stable,NA,NA
Acanthurus albipectoralis,178007,LC,Unknown,NA,NA
Acanthurus aliala,177969,LC,Stable,NA,NA
Acanthurus glaucoparecius,177969,LC,Stable,NA,NA
Acanthurus glaucopareius,177969,LC,Stable,NA,NA
Acanthurus nigricans,177969,LC,Stable,NA,NA
Chaetodon nigricans,177969,LC,Stable,NA,NA
Acanthurus altivelis,178005,LC,Stable,NA,NA
Acanthurus ruppelii,178005,LC,Stable,NA,NA
Acanthurus scopas,178005,LC,Stable,NA,NA
Acanthurus suillus,178005,LC,Stable,NA,NA
Zebrasoma flavescens,178005,LC,Stable,NA,NA
Zebrasoma gemmatum,178005,LC,Stable,NA,NA
Zebrasoma scopas,178005,LC,Stable,NA,NA
Zebrasoma supraalba,178005,LC,Stable,NA,NA
Acanthurus argenteus,178012,LC,Stable,NA,NA
Acanthurus ctenodon,178012,LC,Stable,NA,NA
Acanthurus flavoguttatus,178012,LC,Stable,NA,NA
Acanthurus ketlitzii,178012,LC,Stable,NA,NA
Acanthurus kettlitzii,178012,LC,Stable,NA,NA
Acanthurus striatus,178012,LC,Stable,NA,NA
Acronurus argenteus,178012,LC,Stable,NA,NA
Ctenochaetus striatus,178012,LC,Stable,NA,NA
Ctenodon ctenodon,178012,LC,Stable,NA,NA
Ctenodon cuvierii,178012,LC,Stable,NA,NA
Acanthurus armiger,178022,LC,Stable,NA,NA
Acanthurus celebicus,178022,LC,Stable,NA,NA
Acanthurus fuscus,178022,LC,Stable,NA,NA
Acanthurus pyroferus,178022,LC,Stable,NA,NA
Hepatus celebicus,178022,LC,Stable,NA,NA
Hepatus pyriferus,178022,LC,Stable,NA,NA
Hepatus pyroferus,178022,LC,Stable,NA,NA
Rhombotides celebicus,178022,LC,Stable,NA,NA
Acanthurus atramentatus,177999,LC,Stable,NA,NA
Acanthurus bipunctatus,177999,LC,Stable,NA,NA
Acanthurus nigroris,177999,LC,Stable,NA,NA
Hepatus atramentatus,177999,LC,Stable,NA,NA
Teuthis atrimentatus,177999,LC,Stable,NA,NA
Acanthurus auranticavus,177974,LC,Unknown,NA,NA
Acanthurus bahianus,177985,LC,Stable,NA,NA
Acanthurus randalli,177985,LC,Stable,NA,NA
Acanthurus tractus,177985,LC,Stable,NA,NA
Acronurus nigriculus,177985,LC,Stable,NA,NA
Acanthurus bariene,177978,LC,Unknown,NA,NA
Acanthurus kingii,177978,LC,Unknown,NA,NA
Acanthurus nummifer,177978,LC,Unknown,NA,NA
Acanthurus bicommatus,177997,LC,Stable,NA,NA
Acanthurus plagiatus,177997,LC,Stable,NA,NA
Acanthurus tennenti,177997,LC,Stable,NA,NA
Acanthurus tennentii,177997,LC,Stable,NA,NA
Acanthurus bleekeri,177967,LC,Stable,NA,NA
Acanthurus mata,177967,LC,Stable,NA,NA
Acanthurus weberi,177967,LC,Stable,NA,NA
Chaetodon mata,177967,LC,Stable,NA,NA
Chaetodon meta,177967,LC,Stable,NA,NA
Acanthurus blochii,177971,LC,Stable,NA,NA
Acanthurus brevis,177953,LC,Stable,NA,NA
Acanthurus broussonnetii,177953,LC,Stable,NA,NA
Acanthurus caeruleus,177953,LC,Stable,NA,NA
Acanthurus coeruleus,177953,LC,Stable,NA,NA
Acanthurus coerulus,177953,LC,Stable,NA,NA
Acanthurus heliodes,177953,LC,Stable,NA,NA
Acanthurus nigricans,177953,LC,Stable,NA,NA
Acanthurus violaceus,177953,LC,Stable,NA,NA
Acronurus caeruleatus,177953,LC,Stable,NA,NA
Hepatus caeruleus,177953,LC,Stable,NA,NA
Hepatus pawnee,177953,LC,Stable,NA,NA
Teuthis coeruleus,177953,LC,Stable,NA,NA
Teuthis helioides,177953,LC,Stable,NA,NA
Acanthurus carinatus,177987,LC,Stable,NA,NA
Acanthurus ruppelii,177987,LC,Stable,NA,NA
Acanthurus sohal,177987,LC,Stable,NA,NA
Chaetodon sohal,177987,LC,Stable,NA,NA
Acanthurus chirurgus,177982,LC,Stable,NA,NA
Acanthurus phlebotomus,177982,LC,Stable,NA,NA
Chaetodon chirurgus,177982,LC,Stable,NA,NA
Acanthurus chronixis,177966,VU,Unknown,NA,NA
Acanthurus chrysosoma,177991,LC,Stable,NA,NA
Acanthurus eparei,177991,LC,Stable,NA,NA
Acanthurus humeralis,177991,LC,Stable,NA,NA
Acanthurus olivaceus,177991,LC,Stable,NA,NA
Ctenodon erythromelas,177991,LC,Stable,NA,NA
Harpurus paroticus,177991,LC,Stable,NA,NA
Hepatus chrysosoma,177991,LC,Stable,NA,NA
Hepatus olivaceus,177991,LC,Stable,NA,NA
Rhombotides olivaceus,177991,LC,Stable,NA,NA
Rhombotides xanthosoma,177991,LC,Stable,NA,NA
Teuthis olivaceus,177991,LC,Stable,NA,NA
Acanthurus crestonis,177989,LC,Stable,NA,NA
Acanthurus rasi,177989,LC,Stable,NA,NA
Acanthurus reticulatus,177989,LC,Stable,NA,NA
Acanthurus xanthopterus,177989,LC,Stable,NA,NA
Hepatus aquilinus,177989,LC,Stable,NA,NA
Hepatus crestonis,177989,LC,Stable,NA,NA
Hepatus guntheri,177989,LC,Stable,NA,NA
Hepatus xanthopterus,177989,LC,Stable,NA,NA
Teuthis crestonis,177989,LC,Stable,NA,NA
Teuthis guntheri,177989,LC,Stable,NA,NA
Teuthis guentheri,177989,LC,Stable,NA,NA
Teuthis xanthopterus,177989,LC,Stable,NA,NA
Acanthurus delisiani,178000,LC,Unknown,NA,NA
Acanthurus delisianus,178000,LC,Unknown,NA,NA
Acanthurus leucosternon,178000,LC,Unknown,NA,NA
Acanthurus leucosternum,178000,LC,Unknown,NA,NA
Hepatus leucosternon,178000,LC,Unknown,NA,NA
Rhombotides leucosternon,178000,LC,Unknown,NA,NA
Acanthurus desjardinii,178024,LC,Stable,NA,NA
Zebrasoma desjardini,178024,LC,Stable,NA,NA
Zebrasoma desjardinii,178024,LC,Stable,NA,NA
Acanthurus dussumiere,177981,LC,Unknown,NA,NA
Acanthurus dussumieri,177981,LC,Unknown,NA,NA
Acanthurus dussumierri,177981,LC,Unknown,NA,NA
Acanthurus lamarrii,177981,LC,Unknown,NA,NA
Acanthurus undulatus,177981,LC,Unknown,NA,NA
Hepatus dussumieri,177981,LC,Unknown,NA,NA
Rhombotides dussumieri,177981,LC,Unknown,NA,NA
Rhombotides lamarrii,177981,LC,Unknown,NA,NA
Teuthis dussumieri,177981,LC,Unknown,NA,NA
Acanthurus flavescens,178015,LC,Stable,NA,NA
Zebrasoma flavescens,178015,LC,Stable,NA,NA
Acanthurus fowleri,177959,LC,Unknown,NA,NA
Acanthurus fuliginosus,178019,LC,Stable,NA,NA
Acanthurus lineolatus,178019,LC,Stable,NA,NA
Acanthurus matoides,178019,LC,Stable,NA,NA
Acanthurus nigrofuscus,178019,LC,Stable,NA,NA
Acanthurus rubropunctatus,178019,LC,Stable,NA,NA
Chaetodon nigrofuscus,178019,LC,Stable,NA,NA
Ctenodon rubropunctatus,178019,LC,Stable,NA,NA
Hepatus fuliginosus,178019,LC,Stable,NA,NA
Hepatus lineolatus,178019,LC,Stable,NA,NA
Hepatus lucillae,178019,LC,Stable,NA,NA
Teuthis lucillae,178019,LC,Stable,NA,NA
Acanthurus gahhm,154818,LC,Unknown,NA,NA
Acanthurus nigricans,154818,LC,Unknown,NA,NA
Acanthurus nigricauda,154818,LC,Unknown,NA,NA
Chaetodon nigrofuscus,154818,LC,Unknown,NA,NA
Acanthurus gahm,178017,LC,Stable,NA,NA
Acanthurus nigricauda,178017,LC,Stable,NA,NA
Acanthurus nigricaudus,178017,LC,Stable,NA,NA
Acanthurus gemmatus,177973,DD,Unknown,NA,NA
Zebrasoma gemmatum,177973,DD,Unknown,NA,NA
Acanthurus grammoptilus,178006,LC,Unknown,NA,NA
Acanthurus guttatus,177995,LC,Unknown,NA,NA
Harpurus guttatus,177995,LC,Unknown,NA,NA
Hepatus guttatus,177995,LC,Unknown,NA,NA
Rhombotides guttatus,177995,LC,Unknown,NA,NA
Teuthis guttatus,177995,LC,Unknown,NA,NA
Zabrasoma guttatus,177995,LC,Unknown,NA,NA
Acanthurus hepatus,177972,LC,Unknown,NA,NA
Acanthurus theuthis,177972,LC,Unknown,NA,NA
Paracanthurus hepatus,177972,LC,Unknown,NA,NA
Paracanthurus theuthis,177972,LC,Unknown,NA,NA
Teuthis hepatus,177972,LC,Unknown,NA,NA
Acanthurus hirudo,177965,LC,Stable,NA,NA
Acanthurus pentazona,177965,LC,Stable,NA,NA
Acanthurus subarmatus,177965,LC,Stable,NA,NA
Acanthurus triastegus,177965,LC,Stable,NA,NA
Acanthurus triostegus,177965,LC,Stable,NA,NA
Acanthurus triostegus marquesensis,177965,LC,Stable,NA,NA
Acanthurus triostegus sandvicensis,177965,LC,Stable,NA,NA
Acanthurus triostegus triostegus,177965,LC,Stable,NA,NA
Acanthurus triostegust,177965,LC,Stable,NA,NA
Acanthurus zebra,177965,LC,Stable,NA,NA
Chaetodon couaga,177965,LC,Stable,NA,NA
Chaetodon triostegus,177965,LC,Stable,NA,NA
Harpurus fasciatus,177965,LC,Stable,NA,NA
Hepatus sandvicensis,177965,LC,Stable,NA,NA
Hepatus triostegus,177965,LC,Stable,NA,NA
Rhombotides pentazona,177965,LC,Stable,NA,NA
Rhombotides triostegus,177965,LC,Stable,NA,NA
Teuthis australis,177965,LC,Stable,NA,NA
Teuthis elegans,177965,LC,Stable,NA,NA
Teuthis sandvicensis,177965,LC,Stable,NA,NA
Teuthis triostegus,177965,LC,Stable,NA,NA
Teuthis troughtoni,177965,LC,Stable,NA,NA
Acanthurus japonica,177977,LC,Unknown,NA,NA
Acanthurus japonicus,177977,LC,Unknown,NA,NA
Hepatus aliala japonicus,177977,LC,Unknown,NA,NA
Acanthurus leucocheilus,177994,LC,Unknown,NA,NA
Acanthurus leuocheilus,177994,LC,Unknown,NA,NA
Acanthurus leuococheilus,177994,LC,Unknown,NA,NA
Acanthurus leucopareius,178011,LC,Stable,NA,NA
Hepatus leucopareius,178011,LC,Stable,NA,NA
Hepatus umbra,178011,LC,Stable,NA,NA
Teuthis bishopi,178011,LC,Stable,NA,NA
Teuthis leucopareius,178011,LC,Stable,NA,NA
Teuthis umbra,178011,LC,Stable,NA,NA
Acanthurus lineatus,177993,LC,Stable,NA,NA
Acanthurus vittatus,177993,LC,Stable,NA,NA
Chaetodon lineatus,177993,LC,Stable,NA,NA
Ctenodon lineatus,177993,LC,Stable,NA,NA
Harpurus lineatus,177993,LC,Stable,NA,NA
Hepatus lineatus,177993,LC,Stable,NA,NA
Rhombotides lineatus,177993,LC,Stable,NA,NA
Teuthis lineatus,177993,LC,Stable,NA,NA
Acanthurus lituratus,177950,LC,Stable,NA,NA
Aspisurus carolinarum,177950,LC,Stable,NA,NA
Callicanthus lituratus,177950,LC,Stable,NA,NA
Monoceros garretti,177950,LC,Stable,NA,NA
Naso literatus,177950,LC,Stable,NA,NA
Naso lituratus,177950,LC,Stable,NA,NA
Prionurus eoume,177950,LC,Stable,NA,NA
Acanthurus maculiceps,177957,LC,Unknown,NA,NA
Hepatus maculiceps,177957,LC,Unknown,NA,NA
Acanthurus marginatus,177964,LC,Unknown,NA,NA
Ctenochaetus cyanoguttatus,177964,LC,Unknown,NA,NA
Ctenochaetus magnus,177964,LC,Unknown,NA,NA
Ctenochaetus marginatus,177964,LC,Unknown,NA,NA
Acanthurus monroviae,178023,LC,Unknown,NA,NA
Acanthurus nubilus,177961,LC,Unknown,NA,NA
Harpurina nubilus,177961,LC,Unknown,NA,NA
Hepatus nubilus,177961,LC,Unknown,NA,NA
Acanthurus philippinus,178008,LC,Stable,NA,NA
Acanthurus thompsoni,178008,LC,Stable,NA,NA
Hepatus philippinus,178008,LC,Stable,NA,NA
Hepatus thompsoni,178008,LC,Stable,NA,NA
