"","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area"
"1","ITS-552925",170038,"Thymops birsteini",NA,NA,"LOBSTERS","LC","Unknown",1463956.51808695,629668.959243972
"2","ITS-567398",192532,"Conus stearnsii",NA,NA,"CONUS","VU","Unknown",1650599.74658129,191546.963452537
"3","ITS-656358",192778,"Conus vexillum",NA,NA,"CONUS","LC","Unknown",12050377.6503956,33023150.9788155
"4","SLB-184905",170037,"Eduarctus martensii",NA,NA,"LOBSTERS","LC","Unknown",13898208.1580268,13955304.6657125
"5","ITS-553024",170056,"Scyllarus pygmaeus",NA,NA,"LOBSTERS","LC","Unknown",1557504.32187881,2120177.0010695
"6","SLB-184955",170055,"Petrarctus rugosus",NA,NA,"LOBSTERS","LC","Unknown",10915285.7415968,6476086.00225936
"7","SLB-184912",185076,"Galearctus aurora",NA,NA,"LOBSTERS","LC","Unknown",7650635.1294179,2708338.92937229
"8","SLB-184897",185093,"Crenarctus bicuspidatus",NA,NA,"LOBSTERS","LC","Unknown",11342463.8949543,17196461.3303302
"9","SLB-184895",185080,"Chelarctus cultrifer",NA,NA,"LOBSTERS","LC","Unknown",10942220.4916614,13830642.6559106
"10","ITS-660110",185038,"Pentacheles laevis",NA,NA,"LOBSTERS","LC","Stable",46350875.3094897,24368027.5507865
"11","SLB-184838",185023,"Stereomastis surda",NA,NA,"LOBSTERS","LC","Unknown",15081791.2026862,108433604.858279
"12","ITS-660118",170008,"Scyllarides squammosus",NA,NA,"LOBSTERS","LC","Unknown",13928637.3896254,10541910.5936919
"13","ITS-660225",170025,"Jasus edwardsii",NA,NA,"LOBSTERS","LC","Stable",593348.249327813,2047029.12893539
"14","ITS-75285",192370,"Conus daucus",NA,NA,"CONUS","LC","Unknown",2587901.16773895,32191286.6922747
"15","ITS-75291",192338,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939
"16","ITS-75291",192637,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939
"17","ITS-75305",192553,"Conus mazei",NA,NA,"CONUS","LC","Unknown",2565211.83240263,503233.923856719
"18","ITS-75309",192444,"Conus villepinii",NA,NA,"CONUS","LC","Unknown",3248603.76435971,4590994.62270742
"19","ITS-75310",192340,"Conus amphiurgus",NA,NA,"CONUS","LC","Unknown",2758974.42472982,1212301.24521689
"20","ITS-75314",192683,"Conus stimpsoni",NA,NA,"CONUS","LC","Unknown",1259904.65934359,909160.155035412
"21","ITS-75327",192449,"Conus brunneus",NA,NA,"CONUS","LC","Unknown",1165814.75009613,1847592.57396408
"22","ITS-75329",192871,"Conus cardinalis",NA,NA,"CONUS","NT","Unknown",2059167.04886102,463597.195239272
"23","ITS-75344",192578,"Conus ermineus",NA,NA,"CONUS","LC","Unknown",2216976.18149331,6643194.42651382
"24","ITS-75346",192566,"Conus fergusoni",NA,NA,"CONUS","LC","Unknown",1974728.34140029,1606236.24305244
"25","ITS-75349",192345,"Conus gladiator",NA,NA,"CONUS","LC","Unknown",1078128.79234493,1800791.08292232
"26","ITS-75352",192590,"Conus granulatus",NA,NA,"CONUS","LC","Unknown",1990217.71934134,17896245.2486692
"27","ITS-75352",192624,"Conus granulatus",NA,NA,"CONUS","LC","Unknown",1990217.71934134,17896245.2486692
"28","ITS-75356",192633,"Conus mus",NA,NA,"CONUS","LC","Unknown",1672891.21365075,3424133.65146992
"29","ITS-75369",192696,"Conus purpurascens",NA,NA,"CONUS","LC",NA,1401339.39915348,1980381.92522736
"30","ITS-75376",192869,"Conus regius",NA,NA,"CONUS","LC","Unknown",2392024.6624439,4416333.52871429
"31","ITS-75376",192452,"Conus regius",NA,NA,"CONUS","LC",NA,2392024.6624439,4416333.52871429
"32","ITS-75400",192704,"Conus acutangulus",NA,NA,"CONUS","LC","Unknown",9260519.10307859,33095894.5708532
"33","ITS-75402",192629,"Conus attenuatus",NA,NA,"CONUS","LC","Unknown",2058578.46512875,2888405.31622951
"34","ITS-75403",192693,"Conus cancellatus",NA,NA,"CONUS","LC","Unknown",3803641.531688,1709143.69481418
"35","ITS-75406",192599,"Conus mindanus",NA,NA,"CONUS","LC","Unknown",3174401.99581471,5261309.10294917
"36","ITS-199949",169951,"Panulirus penicillatus",NA,NA,"LOBSTERS","LC","Unknown",11485846.4570943,29264245.5462371
"37","ITS-199950",169954,"Scyllarides haanii",NA,NA,"LOBSTERS","LC","Unknown",14367053.5202614,3080211.30419272
"38","SLB-184862",185035,"Bathyarctus rubens",NA,NA,"LOBSTERS","LC","Unknown",11601635.9258014,6791059.31520661
"39","SLB-184916",185062,"Galearctus timidus",NA,NA,"LOBSTERS","LC","Unknown",9850493.29604784,5357551.18426771
"40","ITS-553055",169979,"Thenus orientalis",NA,NA,"LOBSTERS","LC","Unknown",11963158.8930007,3951951.17342953
"41","ITS-553058",170049,"Palinurellus wieneckii",NA,NA,"LOBSTERS","LC","Unknown",9582714.61770096,5649546.58833505
"42","ITS-552914",169962,"Acanthacaris tenuimana",NA,NA,"LOBSTERS","LC","Unknown",13637659.5481801,32098513.7379761
"43","ITS-552916",169985,"Nephropsis acanthura",NA,NA,"LOBSTERS","LC","Unknown",5618551.28091132,6989999.64000504
"44","ITS-552917",170044,"Nephropsis atlantica",NA,NA,"LOBSTERS","LC","Unknown",2032549.92039804,5037047.25239556
"45","ITS-552919",170086,"Nephropsis ensirostris",NA,NA,"LOBSTERS","LC","Unknown",3535681.57400567,4644546.55686604
"46","ITS-552922",169974,"Nephropsis stewarti",NA,NA,"LOBSTERS","LC","Unknown",9776909.74414967,8373101.38896301
"47","ITS-552923",170032,"Nephropsis suhmi",NA,NA,"LOBSTERS","LC","Unknown",8151152.11754986,7250663.67610554
