spp_group_text,n_spp,quad,n_quad,pct_quad,pct_q1,quad_name
Angelfish,69,q1,13.0,0.18840579710144928,0.18840579710144928,well-aligned
Bonefish/Tarpon,12,q1,6.0,0.5,0.5,well-aligned
Butterflyfish,115,q1,20.0,0.17391304347826086,0.17391304347826086,well-aligned
Combtooth Blennies,262,q1,30.0,0.11450381679389313,0.11450381679389313,well-aligned
Cone snails,119,q1,5.0,0.04201680672268908,0.04201680672268908,well-aligned
Corals,388,q1,84.0,0.21649484536082475,0.21649484536082475,well-aligned
Damselfish,48,q1,9.0,0.1875,0.1875,well-aligned
Groupers,130,q1,52.0,0.4,0.4,well-aligned
Lobsters,156,q1,29.0,0.1858974358974359,0.1858974358974359,well-aligned
Marine Mammals,103,q1,75.0,0.7281553398058253,0.7281553398058253,well-aligned
Pufferfish,112,q1,21.0,0.1875,0.1875,well-aligned
Reptiles,25,q1,6.0,0.24,0.24,well-aligned
Seabreams/Porgies,91,q1,40.0,0.43956043956043955,0.43956043956043955,well-aligned
Sea Cucumbers,42,q1,4.0,0.09523809523809523,0.09523809523809523,well-aligned
Surgeons/Tangs/Unicornfish,73,q1,9.0,0.1232876712328767,0.1232876712328767,well-aligned
Tunas/Billfish,58,q1,28.0,0.4827586206896552,0.4827586206896552,well-aligned
Wrasses,458,q1,79.0,0.17248908296943233,0.17248908296943233,well-aligned
Mangroves,2,q1,0.0,0.0,0.0,well-aligned
Sea grasses,6,q1,0.0,0.0,0.0,well-aligned
Terr. Mammals,2,q1,0.0,0.0,0.0,well-aligned
Angelfish,69,q2,9.0,0.13043478260869565,0.18840579710144928,dist-aligned
Bonefish/Tarpon,12,q2,3.0,0.25,0.5,dist-aligned
Butterflyfish,115,q2,27.0,0.23478260869565218,0.17391304347826086,dist-aligned
Combtooth Blennies,262,q2,43.0,0.16412213740458015,0.11450381679389313,dist-aligned
Cone snails,119,q2,73.0,0.6134453781512605,0.04201680672268908,dist-aligned
Corals,388,q2,231.0,0.595360824742268,0.21649484536082475,dist-aligned
Damselfish,48,q2,14.0,0.2916666666666667,0.1875,dist-aligned
Groupers,130,q2,30.0,0.23076923076923078,0.4,dist-aligned
Lobsters,156,q2,27.0,0.17307692307692307,0.1858974358974359,dist-aligned
Marine Mammals,103,q2,22.0,0.21359223300970873,0.7281553398058253,dist-aligned
Pufferfish,112,q2,25.0,0.22321428571428573,0.1875,dist-aligned
Reptiles,25,q2,10.0,0.4,0.24,dist-aligned
Seabreams/Porgies,91,q2,21.0,0.23076923076923078,0.43956043956043955,dist-aligned
Sea Cucumbers,42,q2,23.0,0.5476190476190477,0.09523809523809523,dist-aligned
Surgeons/Tangs/Unicornfish,73,q2,29.0,0.3972602739726027,0.1232876712328767,dist-aligned
Tunas/Billfish,58,q2,18.0,0.3103448275862069,0.4827586206896552,dist-aligned
Wrasses,458,q2,86.0,0.18777292576419213,0.17248908296943233,dist-aligned
Mangroves,2,q2,2.0,1.0,0.0,dist-aligned
Sea grasses,6,q2,6.0,1.0,0.0,dist-aligned
Terr. Mammals,2,q2,0.0,0.0,0.0,dist-aligned
Angelfish,69,q3,29.0,0.42028985507246375,0.18840579710144928,area-aligned
Bonefish/Tarpon,12,q3,1.0,0.08333333333333333,0.5,area-aligned
Butterflyfish,115,q3,50.0,0.43478260869565216,0.17391304347826086,area-aligned
Combtooth Blennies,262,q3,110.0,0.4198473282442748,0.11450381679389313,area-aligned
Cone snails,119,q3,18.0,0.15126050420168066,0.04201680672268908,area-aligned
Corals,388,q3,52.0,0.13402061855670103,0.21649484536082475,area-aligned
Damselfish,48,q3,18.0,0.375,0.1875,area-aligned
Groupers,130,q3,35.0,0.2692307692307692,0.4,area-aligned
Lobsters,156,q3,42.0,0.2692307692307692,0.1858974358974359,area-aligned
Marine Mammals,103,q3,4.0,0.038834951456310676,0.7281553398058253,area-aligned
Pufferfish,112,q3,44.0,0.39285714285714285,0.1875,area-aligned
Reptiles,25,q3,8.0,0.32,0.24,area-aligned
Seabreams/Porgies,91,q3,17.0,0.18681318681318682,0.43956043956043955,area-aligned
Sea Cucumbers,42,q3,6.0,0.14285714285714285,0.09523809523809523,area-aligned
Surgeons/Tangs/Unicornfish,73,q3,20.0,0.273972602739726,0.1232876712328767,area-aligned
Tunas/Billfish,58,q3,10.0,0.1724137931034483,0.4827586206896552,area-aligned
Wrasses,458,q3,166.0,0.3624454148471616,0.17248908296943233,area-aligned
Mangroves,2,q3,0.0,0.0,0.0,area-aligned
Sea grasses,6,q3,0.0,0.0,0.0,area-aligned
Terr. Mammals,2,q3,1.0,0.5,0.0,area-aligned
Angelfish,69,q4,18.0,0.2608695652173913,0.18840579710144928,poorly aligned
Bonefish/Tarpon,12,q4,2.0,0.16666666666666666,0.5,poorly aligned
Butterflyfish,115,q4,18.0,0.1565217391304348,0.17391304347826086,poorly aligned
Combtooth Blennies,262,q4,79.0,0.3015267175572519,0.11450381679389313,poorly aligned
Cone snails,119,q4,23.0,0.19327731092436976,0.04201680672268908,poorly aligned
Corals,388,q4,21.0,0.05412371134020619,0.21649484536082475,poorly aligned
Damselfish,48,q4,7.0,0.14583333333333334,0.1875,poorly aligned
Groupers,130,q4,13.0,0.1,0.4,poorly aligned
Lobsters,156,q4,58.0,0.3717948717948718,0.1858974358974359,poorly aligned
Marine Mammals,103,q4,2.0,0.019417475728155338,0.7281553398058253,poorly aligned
Pufferfish,112,q4,22.0,0.19642857142857142,0.1875,poorly aligned
Reptiles,25,q4,1.0,0.04,0.24,poorly aligned
Seabreams/Porgies,91,q4,13.0,0.14285714285714285,0.43956043956043955,poorly aligned
Sea Cucumbers,42,q4,9.0,0.21428571428571427,0.09523809523809523,poorly aligned
Surgeons/Tangs/Unicornfish,73,q4,15.0,0.2054794520547945,0.1232876712328767,poorly aligned
Tunas/Billfish,58,q4,2.0,0.034482758620689655,0.4827586206896552,poorly aligned
Wrasses,458,q4,127.0,0.27729257641921395,0.17248908296943233,poorly aligned
Mangroves,2,q4,0.0,0.0,0.0,poorly aligned
Sea grasses,6,q4,0.0,0.0,0.0,poorly aligned
Terr. Mammals,2,q4,1.0,0.5,0.0,poorly aligned
