iucn_sid,am_sid,sciname,match
2055,ITS-Mam-180633,Arctocephalus australis,id
2057,ITS-Mam-180634,Arctocephalus galapagoensis,id
2058,ITS-Mam-180630,Arctocephalus gazella,id
2059,ITS-180635,Arctocephalus philippii,id
2060,ITS-Mam-180629,Arctocephalus pusillus,id
2061,ITS-Mam-180636,Arctocephalus townsendi,id
2062,ITS-Mam-180632,Arctocephalus tropicalis,id
2467,ITS-Mam-180533,Balaena mysticetus,id
2474,ITS-Mam-180524,Balaenoptera acutorostrata,id
2475,ITS-Mam-180526,Balaenoptera borealis,id
2476,ITS-Mam-180525,Balaenoptera edeni,id
2477,ITS-Mam-180528,Balaenoptera musculus,id
2478,ITS-Mam-180527,Balaenoptera physalus,id
2480,ITS-Mam-612592,Balaenoptera bonaerensis,id
2762,ITS-Mam-180495,Berardius arnuxii,id
2763,ITS-Mam-180496,Berardius bairdii,id
3590,ITS-Mam-180627,Callorhinus ursinus,id
3778,ITS-Mam-180535,Caperea marginata,id
3897,Rep-2666,Caretta caretta,id
4159,ITS-Mam-180449,Cephalorhynchus commersonii,id
4160,ITS-180450,Cephalorhynchus eutropia,id
4161,ITS-Mam-180451,Cephalorhynchus heavisidii,id
4162,ITS-Mam-180452,Cephalorhynchus hectori,id
4362,Fis-32632,Chaetodon marleyi,id
4364,Fis-33809,Chaetodon robustus,id
4615,Rep-2941,Chelonia mydas,id
5659,Rep-3445,Crocodylus acutus,id
5668,Rep-3460,Crocodylus porosus,id
6204,ITS-Mam-180657,Cystophora cristata,id
6335,ITS-Mam-180483,Delphinapterus leucas,id
6336,ITS-Mam-180438,Delphinus delphis,id
6337,ITS-Mam-555654,Delphinus capensis,id
6494,Rep-4381,Dermochelys coriacea,id
6909,ITS-Mam-180679,Dugong dugon,id
7750,ITS-Mam-180547,Enhydra lutris,id
7854,Fis-29953,Epinephelus drummondhayi,id
7858,Fis-26139,Epinephelus lanceolatus,id
7859,Fis-26140,Epinephelus marginatus,id
7860,Fis-163779,Hyporthodus nigritus,id
7861,Fis-163781,Hyporthodus niveatus,id
7862,Fis-22722,Epinephelus striatus,id
8005,Rep-5181,Eretmochelys imbricata,id
8010,ITS-Mam-180655,Erignathus barbatus,id
8097,ITS-Mam-180521,Eschrichtius robustus,id
8153,ITS-Mam-552771,Eubalaena australis,id
8239,ITS-Mam-180625,Eumetopias jubatus,id
8551,ITS-Mam-180461,Feresa attenuata,id
9249,ITS-Mam-180466,Globicephala macrorhynchus,id
9250,ITS-Mam-552461,Globicephala melas,id
9461,ITS-Mam-180457,Grampus griseus,id
9660,ITS-Mam-180653,Halichoerus grypus,id
10340,ITS-Mam-180667,Hydrurga leptonyx,id
10708,ITS-Mam-180505,Hyperoodon planifrons,id
11048,ITS-Mam-180492,Kogia sima,id
11130,Fis-23577,Lachnolaimus maximus,id
11140,ITS-Mam-180440,Lagenodelphis hosei,id
11141,ITS-Mam-180443,Lagenorhynchus acutus,id
11142,ITS-Mam-180442,Lagenorhynchus albirostris,id
11143,ITS-Mam-180446,Lagenorhynchus australis,id
11144,ITS-Mam-180447,Lagenorhynchus cruciger,id
11145,ITS-Mam-180444,Lagenorhynchus obliquidens,id
11146,ITS-Mam-180445,Lagenorhynchus obscurus,id
11150,Fis-34000,Lagocephalus gloveri,id
11534,Rep-6936,Lepidochelys olivacea,id
11696,ITS-Mam-180669,Leptonychotes weddellii,id
12125,ITS-Mam-180454,Lissodelphis borealis,id
12137,Fis-23176,Lithognathus lithognathus,id
12246,ITS-Mam-622023,Lobodon carcinophaga,id
12419,ITS-Mam-621916,Lutra lutra,id
13006,ITS-Mam-180530,Megaptera novaeangliae,id
13241,ITS-Mam-180515,Mesoplodon bidens,id
13243,ITS-Mam-180512,Mesoplodon carlhubbsi,id
13245,ITS-Mam-180509,Mesoplodon europaeus,id
13246,ITS-Mam-180510,Mesoplodon ginkgodens,id
13247,ITS-Mam-180511,Mesoplodon grayi,id
13248,ITS-Mam-180507,Mesoplodon hectori,id
13249,ITS-Mam-180516,Mesoplodon layardii,id
13250,ITS-Mam-180508,Mesoplodon mirus,id
13251,ITS-Mam-552772,Mesoplodon peruvianus,id
13252,ITS-Mam-180514,Mesoplodon stejnegeri,id
13581,ITS-Mam-180672,Mirounga angustirostris,id
13583,ITS-Mam-180671,Mirounga leonina,id
13653,ITS-Mam-180659,Monachus monachus,id
13654,ITS-Mam-180661,Neomonachus schauinslandi,id
13704,ITS-Mam-180485,Monodon monoceros,id
14049,Fis-24803,Mycteroperca jordani,id
14050,Fis-23649,Mycteroperca microlepis,id
14051,Fis-26901,Mycteroperca olfax,id
14052,Fis-33369,Mycteroperca prionura,id
14053,Fis-27393,Mycteroperca rosacea,id
14054,Fis-23650,Mycteroperca rubra,id
14549,ITS-Mam-180623,Neophoca cinerea,id
15106,ITS-Mam-180639,Odobenus rosmarus,id
15269,ITS-Mam-180665,Ommatophoca rossii,id
15419,ITS-Mam-180471,Orcaella brevirostris,id
15873,Fis-23707,Pagrus pagrus,id
16564,ITS-Mam-180459,Peponocephala electra,id
17013,ITS-Mam-180649,Phoca vitulina,id
17026,ITS-Mam-180617,Phocarctos hookeri,id
17027,ITS-Mam-180473,Phocoena phocoena,id
17028,ITS-Mam-180474,Phocoena sinus,id
17029,ITS-Mam-180476,Phocoena spinipinnis,id
17032,ITS-Mam-180480,Phocoenoides dalli,id
17978,ITS-Mam-180411,Pontoporia blainvillei,id
18596,ITS-Mam-180463,Pseudorca crassidens,id
19950,Fis-30607,Scarus guacamaia,id
20047,Fis-22821,Scomberomorus concolor,id
20424,ITS-180419,Sousa chinensis,id
20729,ITS-Mam-180430,Stenella attenuata,id
20730,ITS-Mam-180435,Stenella clymene,id
20731,ITS-Mam-180434,Stenella coeruleoalba,id
20732,ITS-Mam-552460,Stenella frontalis,id
20733,ITS-Mam-180429,Stenella longirostris,id
20738,ITS-Mam-180417,Steno bredanensis,id
21341,Fis-28765,Takifugu niphobles,id
21342,Fis-55125,Takifugu poecilonotus,id
21343,Fis-28762,Takifugu xanthopterus,id
21500,ITS-Mam-180500,Tasmacetus shepherdi,id
21689,Fis-52020,Thalassoma ascensionis,id
21856,Fis-22832,Thunnus alalunga,id
21857,Fis-22833,Thunnus albacares,id
21858,Fis-22835,Thunnus maccoyii,id
21859,Fis-22836,Thunnus obesus,id
21860,Fis-49220,Thunnus thynnus,id
21994,Fis-27843,Torquigener brevipinnis,id
22103,ITS-Mam-180684,Trichechus manatus,id
22563,ITS-Mam-180426,Tursiops truncatus,id
23148,Fis-29576,Xiphias gladius,id
23211,ITS-Mam-180498,Ziphius cavirostris,id
39303,Fis-24556,Dermatolepis inermis,id
39773,Fis-26117,Cephalopholis boenak,id
39774,Fis-26129,Cromileptes altivelis,id
40635,ITS-Mam-180502,Indopacetus pacificus,id
41664,ITS-Mam-180631,Arctocephalus forsteri,id
41665,ITS-Mam-180619,Otaria byronia,id
41666,ITS-Mam-180621,Zalophus californianus,id
41668,ITS-Mam-622014,Zalophus wollebaeki,id
41670,ITS-Mam-622021,Histriophoca fasciata,id
41671,ITS-Mam-622022,Pagophilus groenlandicus,id
41672,ITS-Mam-622018,Pusa hispida,id
41711,ITS-Mam-612591,Eubalaena japonica,id
41712,ITS-Mam-180537,Eubalaena glacialis,id
41714,ITS-Mam-612596,Tursiops aduncus,id
41715,ITS-Mam-180475,Phocoena dioptrica,id
41755,ITS-Mam-180488,Physeter macrocephalus,id
41759,ITS-612599,Mesoplodon perrini,id
41760,ITS-Mam-612598,Mesoplodon traversii,id
43974,Fis-25493,Epinephelus akaara,id
44672,Fis-26130,Dermatolepis striolata,id
44673,Fis-25130,Epinephelus fuscoguttatus,id
44674,Fis-26136,Epinephelus coioides,id
44675,Fis-163783,Hyporthodus quernus,id
44677,Fis-31618,Epinephelus albomarginatus,id
44681,Fis-22721,Epinephelus morio,id
44682,Fis-23651,Mycteroperca tigris,id
44683,Fis-23652,Mycteroperca venenosa,id
44684,Fis-25341,Plectropomus leopardus,id
44686,Fis-33251,Epinephelus cifuentesi,id
61336,Fis-26492,Epinephelus awoara,id
61337,Fis-26498,Epinephelus daemelii,id
61338,Fis-26113,Epinephelus malabaricus,id
61339,Fis-26142,Epinephelus polyphekadion,id
63571,Fis-25689,Bolbometopon muricatum,id
64396,Fis-32305,Epinephelus bruneus,id
64400,Fis-163777,Hyporthodus flavolimbatus,id
64406,Fis-32318,Epinephelus timorensis,id
64407,Fis-32320,Epinephelus tuamotuensis,id
64408,Fis-26516,Epinephelus undulatostriatus,id
64410,Fis-23648,Mycteroperca interstitialis,id
64411,Fis-31641,Plectropomus areolatus,id
64412,Fis-26517,Plectropomus laevis,id
132722,Fis-23120,Epinephelus aeneus,id
132723,Fis-25572,Epinephelus maculatus,id
132725,Fis-26116,Cephalopholis aurantia,id
132726,Fis-26503,Epinephelus flavocaeruleus,id
132727,Fis-23713,Paranthias furcifer,id
132728,Fis-26514,Epinephelus summana,id
132729,Fis-30327,Mycteroperca phenax,id
132730,Fis-163774,Hyporthodus acanthistius,id
132732,Fis-26123,Cephalopholis miniata,id
132733,Fis-27163,Cephalopholis panamensis,id
132734,Fis-163780,Hyporthodus niphobles,id
132735,Fis-115487,Epinephelus latifasciatus,id
132736,Fis-25944,Epinephelus rivulatus,id
132737,Fis-26121,Cephalopholis leopardus,id
132738,Fis-25576,Variola louti,id
132739,Fis-26145,Epinephelus undulosus,id
132741,Fis-26125,Cephalopholis sexmaculata,id
132742,Fis-27331,Cephalopholis nigri,id
132743,Fis-26119,Cephalopholis formosa,id
132745,Fis-25575,Epinephelus morrhua,id
132746,Fis-31844,Epinephelus melanostigma,id
132747,Fis-31554,Epinephelus spilotoceps,id
132748,Fis-26507,Epinephelus longispinis,id
132749,Fis-32316,Epinephelus stictus,id
132751,Fis-135733,Epinephelus coeruleopunctatus,id
132752,Fis-32304,Epinephelus bilobatus,id
132753,Fis-32313,Epinephelus polylepis,id
132754,Fis-32974,Alphestes immaculatus,id
132755,Fis-26511,Epinephelus radiatus,id
132756,Fis-26508,Epinephelus miliaris,id
132757,Fis-26126,Cephalopholis sonnerati,id
132758,Fis-25131,Epinephelus tauvina,id
132759,Fis-26120,Cephalopholis hemistiktos,id
132760,Fis-26502,Epinephelus faveatus,id
132761,Fis-22703,Cephalopholis cruentata,id
132762,Fis-27343,Epinephelus costae,id
132763,Fis-26137,Epinephelus corallicola,id
132764,Fis-27135,Alphestes afer,id
132765,Fis-25402,Epinephelus goreensis,id
132766,Fis-26245,Epinephelus macrospilos,id
132767,Fis-27319,Dermatolepis dermatolepis,id
132769,Fis-26138,Epinephelus fasciatomaculosus,id
132771,Fis-24648,Gonioplectrus hispanus,id
132772,Fis-163782,Hyporthodus octofasciatus,id
132773,Fis-31413,Epinephelus tukula,id
132774,Fis-25586,Epinephelus areolatus,id
132775,Fis-32352,Plectropomus pessuliferus,id
132776,Fis-26483,Plectropomus oligacanthus,id
132777,Fis-26499,Epinephelus diacanthus,id
132778,Fis-26244,Epinephelus hexagonatus,id
132779,Fis-31841,Cephalopholis oligosticta,id
132780,Fis-25340,Epinephelus sexfasciatus,id
132781,Fis-31823,Cephalopholis argus,id
132782,Fis-31840,Cephalopholis aitha,id
132783,Fis-26128,Cephalopholis urodeta,id
132784,Fis-31843,Epinephelus magniscuttis,id
132785,Fis-26501,Epinephelus erythrurus,id
132786,Fis-50377,Cephalopholis nigripinnis,id
132787,Fis-25382,Anyperodon leucogrammicus,id
132788,Fis-31150,Epinephelus merra,id
132789,Fis-26122,Cephalopholis microprion,id
132790,Fis-26518,Triso dermopterus,id
132791,Fis-31363,Cephalopholis igarashiensis,id
132793,Fis-26513,Epinephelus stoliczkae,id
132794,Fis-32315,Epinephelus retouti,id
132795,Fis-163776,Hyporthodus ergastularius,id
132796,Fis-27340,Epinephelus caninus,id
132798,Fis-32309,Epinephelus heniochus,id
132799,Fis-26144,Epinephelus quoyanus,id
132800,Fis-26146,Gracila albomarginata,id
132801,Fis-32321,Plectropomus punctatus,id
132802,Fis-26510,Epinephelus poecilonotus,id
132803,Fis-145041,Cephalopholis polyspila,id
132804,Fis-26141,Epinephelus ongus,id
132805,Fis-26124,Cephalopholis polleni,id
