am_sid,sciname,reviewed,iucn_sid,popn_trend,popn_category,spp_group,id_no,spatial_source,name_verified
Fis-29585,Acipenser brevirostrum,1,222,Decreasing,VU,NA,NA,am,TRUE
Fis-29589,Acipenser naccarii,null,224,Decreasing,CR,NA,NA,am,TRUE
Fis-29590,Acipenser nudiventris,null,225,Decreasing,CR,NA,NA,am,TRUE
Fis-29592,Acipenser stellatus,null,229,Decreasing,CR,NA,NA,am,TRUE
Fis-29593,Acipenser sturio,1,230,Decreasing,CR,NA,NA,am,TRUE
Fis-58741,Acipenser gueldenstaedtii,null,232,Decreasing,CR,NA,NA,am,TRUE
Fis-29588,Acipenser medirostris,1,233,Stable,NT,NA,NA,am,TRUE
Fis-29594,Acipenser transmontanus,null,234,Stable,LC,NA,NA,am,TRUE
Fis-32981,Acipenser sinensis,null,236,Decreasing,CR,NA,NA,am,TRUE
Fis-33633,Acipenser mikadoi,null,241,Decreasing,CR,NA,NA,am,TRUE
Fis-58742,Acipenser oxyrinchus,1,245,Increasing,NT,NA,NA,am,TRUE
NA,Alopex lagopus,NA,899,Stable,LC,TERRESTRIAL_MAMMALS,899,iucn,TRUE
NA,Vulpes lagopus,NA,899,Stable,LC,TERRESTRIAL_MAMMALS,899,iucn,TRUE
Fis-2,Alosa immaculata,null,907,Decreasing,VU,NA,NA,am,TRUE
Rep-455,Amblyrhynchus cristatus,null,1086,Unknown,VU,NA,NA,am,TRUE
Fis-140213,Anisotremus moricandi,null,1308,NA,LC,NA,NA,am,TRUE
Fis-58775,Anthias salmopunctatus,null,1615,NA,LC,NA,NA,am,TRUE
NA,Aonyx capensis,NA,1793,Stable,NT,TERRESTRIAL_MAMMALS,1793,iucn,TRUE
Fis-25345,Aphanius fasciatus,null,1847,Stable,LC,NA,NA,am,TRUE
ITS-Mam-180633,Arctocephalus australis,1,2055,Increasing,LC,MARINE_MAMMALS,2055,iucn,TRUE
ITS-Mam-180634,Arctocephalus galapagoensis,1,2057,Decreasing,EN,MARINE_MAMMALS,2057,iucn,TRUE
ITS-Mam-180630,Arctocephalus gazella,1,2058,Increasing,LC,MARINE_MAMMALS,2058,iucn,TRUE
ITS-Mam-180632,Arctocephalus tropicalis,null,2058,Increasing,LC,MARINE_MAMMALS,2058,iucn,TRUE
ITS-180635,Arctocephalus philippii,1,2059,Increasing,LC,MARINE_MAMMALS,2059,iucn,TRUE
ITS-Mam-180629,Arctocephalus pusillus,1,2060,Increasing,LC,MARINE_MAMMALS,2060,iucn,TRUE
ITS-Mam-180636,Arctocephalus townsendi,1,2061,Increasing,LC,MARINEFISH_Part1,2061,iucn,TRUE
Fis-29684,Atherina boyeri,null,2352,Unknown,LC,NA,NA,am,TRUE
Fis-29300,Atherina presbyter,null,2352,Unknown,LC,NA,NA,am,TRUE
ITS-Mam-180533,Balaena mysticetus,1,2467,Increasing,LC,MARINE_MAMMALS,2467,iucn_parent,TRUE
ITS-Mam-180524,Balaenoptera acutorostrata,1,2474,Stable,LC,MARINEFISH_Part2,2474,iucn,TRUE
ITS-Mam-180526,Balaenoptera borealis,1,2475,Unknown,EN,MARINE_MAMMALS,2475,iucn,TRUE
ITS-Mam-612597,Balaenoptera brydei,1,2476,Unknown,DD,MARINEFISH_Part1,2476,iucn,TRUE
ITS-Mam-180525,Balaenoptera edeni,1,2476,Unknown,DD,MARINEFISH_Part1,2476,iucn,TRUE
ITS-Mam-180528,Balaenoptera musculus,1,2477,Increasing,EN,MARINEFISH_Part1,2477,iucn_parent,TRUE
ITS-Mam-180527,Balaenoptera physalus,1,2478,Unknown,EN,MARINE_MAMMALS,2478,iucn_parent,TRUE
ITS-Mam-612592,Balaenoptera bonaerensis,1,2480,Unknown,DD,MARINE_MAMMALS,2480,iucn,TRUE
Fis-29302,Balistes vetula,null,2539,NA,NT,NA,NA,am,TRUE
Fis-55409,Bathyraja abyssicola,1,2636,Unknown,DD,NA,NA,am,TRUE
ITS-Mam-180495,Berardius arnuxii,1,2762,Unknown,DD,MARINEFISH_Part2,2762,iucn,TRUE
ITS-Mam-180496,Berardius bairdii,1,2763,Unknown,DD,MARINEFISH_Part2,2763,iucn,TRUE
Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,null,2811,NA,DD,NA,NA,am,TRUE
Fis-56243,Brachionichthys hirsutus,1,2958,NA,CR,NA,NA,am,TRUE
Fis-26816,Butis butis,null,3381,Stable,LC,NA,NA,am,TRUE
ITS-Mam-180627,Callorhinus ursinus,1,3590,Decreasing,VU,MARINE_MAMMALS,3590,iucn,TRUE
NA,Canthigaster rapaensis,NA,3764,Unknown,EN,PUFFERFISH,3764,iucn,TRUE
ITS-Mam-180535,Caperea marginata,1,3778,Unknown,DD,MARINE_MAMMALS,3778,iucn,TRUE
Fis-23060,Carcharhinus limbatus,null,3851,Unknown,NT,NA,NA,am,TRUE
Fis-23064,Carcharhinus obscurus,null,3852,Decreasing,VU,NA,NA,am,TRUE
Fis-23066,Carcharhinus plumbeus,null,3853,Decreasing,VU,NA,NA,am,TRUE
Fis-29388,Carcharias taurus,1,3854,Unknown,VU,NA,NA,am,TRUE
Fis-23071,Carcharodon carcharias,1,3855,Unknown,VU,NA,NA,am,TRUE
Rep-2666,Caretta caretta,1,3897,NA,VU,REPTILES,3897,iucn,TRUE
NA,Testudo caretta,NA,3897,NA,VU,REPTILES,3897,iucn,TRUE
NA,Centropyge resplendens,NA,4131,Stable,LC,ANGELFISH,4131,iucn,TRUE
ITS-Mam-180449,Cephalorhynchus commersonii,1,4159,Unknown,DD,MARINE_MAMMALS,4159,iucn,TRUE
ITS-180450,Cephalorhynchus eutropia,1,4160,Decreasing,NT,MARINEFISH_Part2,4160,iucn,TRUE
ITS-Mam-180451,Cephalorhynchus heavisidii,1,4161,Unknown,DD,MARINEFISH_Part1,4161,iucn,TRUE
ITS-Mam-180452,Cephalorhynchus hectori,1,4162,Decreasing,EN,MARINEFISH_Part1,4162,iucn_parent,TRUE
Fis-22747,Cetorhinus maximus,1,4292,Decreasing,VU,NA,NA,am,TRUE
NA,Chaetodon flavocoronatus,NA,4360,Stable,LC,BUTTERFLYFISH,4360,iucn,TRUE
NA,Chaetodon litus,NA,4361,Stable,LC,BUTTERFLYFISH,4361,iucn,TRUE
Fis-32632,Chaetodon marleyi,1,4362,Stable,LC,BUTTERFLYFISH,4362,iucn,TRUE
NA,Chaetodon notophthalmus,NA,4362,Stable,LC,BUTTERFLYFISH,4362,iucn,TRUE
NA,Chaetodon obliquus,NA,4363,Unknown,DD,BUTTERFLYFISH,4363,iucn,TRUE
