iucn_sid,habitat,paired_map,max_depth,shallow_str,shallow
132859,"This species occurs in shallow, tropical reef environments. It is found only in subtidal turbid water, attached to wave washed rock. This species is found on subtidal rock and rocky reefs, the back slope, in lagoons, and on inter-reef rubble substrate. It may be found on the foreslope. This species is found to 10 m. <br/><br/><em>Oulastrea</em> is usually found in muddy areas on the shallow back reef and seldom occurs among dense coral on the fore reef (Wood 1983). It may be more abundant in degraded habitats where other coral species have disappeared, e.g., Jakarta Bay.",TRUE,10,TRUE,TRUE
132860,"<em>Psammocora stellata</em> occurs on shallow wave washed rock, or at depths of 15-20 m depth on coarse sand bottoms (Hickman 2005).<br/><br/>In general, <em>Psammocora</em> species are very slow growing corals; with a calculated growth rate of 0.6cm/year for <em>P. superficialis</em> in Costa Rica (Guzmán and Cortés 1993; Guzmán and Cortés 1989). Sexual reproduction is important, but asexual reproduction and fragmentation are more effective strategies for colonizing free areas within the reef (Cortés and Guzmán 1998). <em>Psammocora</em> species are considered to be amongst the most opportunistic species because of the capacity to rapidly recolonize open areas after disturbances (Guzmán and Cortés 2001).",TRUE,20,TRUE,TRUE
132861,"Colonies are found attached to hard substrate: fragments of coral skeleton, large flagstone of limestone and <em>Ophiolite bedrock</em>. They have been found between 4-22 m depth in mixed communities dominated by <em>Cyphastrea</em>, <em>Leptastrea</em>, <em>Favites</em>, <em>Porites</em>, and <em>Goniopora</em> on the lower part of the reef, in areas with cold upwellings. Colonies are very sensitive to even slight changes in water pressure or movement and respond readily to the slightest disturbance by retracting the polyps (Claereboudt and Al-Amri 2004).",FALSE,22,FALSE,TRUE
132863,"This species occurs in shallow, tropical reef environments on reef slopes and in lagoons.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",TRUE,NA,TRUE,TRUE
132864,This species is found on lower reef slopes and sandy reef base. The depth range is from 3-30 m (Hoeksema 1990). The maximum size is 12 cm diameter and the generation length is approximately seven years. This is a free-living single polyp.,FALSE,30,FALSE,TRUE
132865,"This species is only found in shallow, partly wave washed rocky foreshores nested among algae and soft corals. The depth range is unknown for this species. It is estimated to take three years for a colony of <em>A. japonica</em> to reach sexual maturity (Harii <em>et al</em>. 2001).",FALSE,NA,TRUE,TRUE
132866,"This species occurs in shallow, tropical reef environments. It is commonly found on fringing reef flats, and also other reef habitats. This species is found from 1 m to at least 20 m.",TRUE,20,TRUE,TRUE
132869,"This species occurs in shallow reef environments. This species is found subtidally on reef tops, walls and slopes to 30 m (Wallace 1999).",TRUE,30,TRUE,TRUE
132870,"This species is restricted to turbid water with muddy substrates. It is also occurs in muddy areas exposed at low tide. This species occurs in shallow, tropical reef environments. Colonies are generally small, consisting of one or several corallites, and are often unattached (Wood 1983). This species is found on the back and foreslope of the reef and in lagoons. This species is found to 10 m.",FALSE,10,TRUE,TRUE
132871,"It is found on lower reef slopes and sandy substrates, especially with turbid water. This is a branching <em>Pectinia</em> species. <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. elongata</em> colonies grow up to 30 cm (Fenner pers. comm). This species is found to 25 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. elongata</em> is very conspicuous.",TRUE,25,TRUE,TRUE
132872,"This species occurs in protected reef environments, typically in shallow water. This species is found on subtidal rock and rocky reefs, on the back and foreslope, and in lagoons.",FALSE,NA,TRUE,TRUE
132873,"This species is found on back reef margins, generally to depths of 20 m.",FALSE,20,FALSE,TRUE
132874,"This species is found at intermediate to deep fore reef and lagoon habitats, edges of channels, and at the base of the reef, in hard ground areas and in soft substrate. Occurs from 10-80 m (Reed 1985) though most common from 15-25 m.",TRUE,80,FALSE,TRUE
132875,This species is found in shallow exposed reef environments. The colonies are small. This species is found from 5-40 m.,TRUE,40,TRUE,TRUE
132876,It is found in deep water and on vertical walls. Maximum size is 20 cm. This species is found from 15-25 m.,TRUE,25,FALSE,TRUE
132877,This species is found on reef slopes as free-living single polyp. The depth range is from 3-27 m (Hoeksema 1990). Maximum size is 15 cm in diameter. It reproduces asexually by budding (Hoeksema 2004). It is noteworthy to mention that this species has never been found with parasites.,TRUE,27,FALSE,TRUE
132878,"This species occurs in shallow, tropical reef environments. It is found on upper to lower reef slopes from 3 m to at least 25 m. Sparse colonies of <em>F. maxima</em> are found from 9-15 m in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). This species is found on subtidal rock and rocky reefs, in lagoons, and sometimes in inter-reef soft substrate. This species is found to 35 m.",TRUE,35,TRUE,TRUE
132880,This species occurs in shallow reef environments. The maximum size is approximately 50 cm. This species is found from 2-20 m.,TRUE,20,TRUE,TRUE
132883,"This species occurs in tropical, shallow and deeper clear-water reef environments. This species is found on subtidal rock and rocky reefs, on the back and foreslopes, and in lagoons. It may be found in the outer reef channel. This species is found to 40 m. <br/><br/><em>Goniastrea</em> species are usually hardy corals often found on back reef areas. Many of the colonies are small or medium in size, but others grow to a meter or more in diameter (Wood 1983).",TRUE,40,TRUE,TRUE
132884,This species is found in back reef and fore reef environments from 0.5-55 m depth (A. Bruckner pers. comm.). The form <em>C. amaranthus</em> occurs in intermediate to deep waters from 10-30 m.,TRUE,55,FALSE,TRUE
132885,This species is found on the lower reef slopes and on vertical walls. The maximum size is 25 cm. This species is found from 15-30 m.,TRUE,30,FALSE,TRUE
132886,"This species occurs in shallow, tropical reef environments. It is found in shallow lagoons and on foreshores exposed to wave action. This species is found from 3-12 m. <br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",TRUE,12,TRUE,TRUE
132891,"This species is found in shallow, protected reef and lagoon environments (Fenner pers. comm.). It is not known to which depth this species generally occurs.",FALSE,NA,TRUE,TRUE
132892,"This species occurs in shallow, tropical reef environments on protected, upper reef slopes. This species is found to at least 20 m.",TRUE,20,TRUE,TRUE
132893,This species occurs in most tropical reef environments. This species is found on the back and foreslope of the reef and in lagoons. This species is found to 20 m. <br/><br/><em>Platygyra</em> species occupy a variety of reef habitats. They may form colonies a meter or more in diameter (Wood 1983).,FALSE,20,FALSE,TRUE
132894,"This species occurs in shallow, tropical reef environments on reef slopes. This species can be found on subtidal rock and rocky reefs, in the outer reef channel, and in lagoons. This species is found to 25 m.",TRUE,25,TRUE,TRUE
132896,"This species is only found in environments with moderate wave action, generally to depths of 30 m.",FALSE,30,FALSE,TRUE
132898,"This species is found in shallow reef environments, generally to depths of 20 m.",FALSE,20,TRUE,TRUE
132900,This species is found on all reef habitats. This species is found to 40 m.,TRUE,40,FALSE,TRUE
132901,This species is found in lower reef slopes. It can form large fields. This species is found from 15-30 m.,FALSE,30,FALSE,TRUE
132902,This species is found on reef slopes and lagoons.,TRUE,NA,FALSE,NA
132903,It is found on lower reef slopes and vertical walls. The maximum size is 30 cm. This species is found from 10-30 m.,TRUE,30,FALSE,TRUE
132906,"This species occurs in shallow, tropical reef environments exposed to strong wave action. This species is found from 1-15 m.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",TRUE,15,TRUE,TRUE
132907,"This species occurs in shallow, tropical reef environments. It is found in lower reef slopes protected from wave action, and in crevices. This species forms small colonies; rarely exceeds 10 cm (Fenner pers. comm.). It is found from approximately 5-20 m.",FALSE,20,TRUE,TRUE
132908,"This species occurs in shallow reef environments. <br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",TRUE,NA,TRUE,TRUE
132909,This species occurs in shallow reef environments. It is found in protected lagoons or sandy slopes (Wallace 1999). This species is found from 10-20 m.,TRUE,20,TRUE,TRUE
