iucn_sid,deep,area,totarea,shallow_pct,deep_pct,habitat,paired_map,max_depth,shallow_str,shallow,spp_group,sciname,class,am_sid,reviewed,area_iucn,area_am,area_total,area_overlap,sm_range,sm_perc,area_ratio,lg_area_pct,spp_group_text,occurcells
132859,shallow,7967801.24,12439444.81,0.6405270783141969,0.35947292168580314,"This species occurs in shallow, tropical reef environments. It is found only in subtidal turbid water, attached to wave washed rock. This species is found on subtidal rock and rocky reefs, the back slope, in lagoons, and on inter-reef rubble substrate. It may be found on the foreslope. This species is found to 10 m. <br/><br/><em>Oulastrea</em> is usually found in muddy areas on the shallow back reef and seldom occurs among dense coral on the fore reef (Wood 1983). It may be more abundant in degraded habitats where other coral species have disappeared, e.g., Jakarta Bay.",TRUE,10,TRUE,TRUE,CORALS_Part1,Oulastrea crispata,Anthozoa,URM-Cn-5604,NA,14064717.7,6143414.3,15499029.0,4709103.038850522,AM,76.653,43.68,3.797,Corals,16
132860,shallow,1609584.99,4211082.8,0.3822259182365163,0.6177740817634837,"<em>Psammocora stellata</em> occurs on shallow wave washed rock, or at depths of 15-20 m depth on coarse sand bottoms (Hickman 2005).<br/><br/>In general, <em>Psammocora</em> species are very slow growing corals; with a calculated growth rate of 0.6cm/year for <em>P. superficialis</em> in Costa Rica (Guzmán and Cortés 1993; Guzmán and Cortés 1989). Sexual reproduction is important, but asexual reproduction and fragmentation are more effective strategies for colonizing free areas within the reef (Cortés and Guzmán 1998). <em>Psammocora</em> species are considered to be amongst the most opportunistic species because of the capacity to rapidly recolonize open areas after disturbances (Guzmán and Cortés 2001).",TRUE,20,TRUE,TRUE,CORALS_Part1,Psammocora stellata,Anthozoa,SLB-62998,NA,4553046.9,2432985.2,5709182.6,1276849.5439564995,AM,52.481,53.436,1.229,Corals,18
132861,shallow,38206.62,72550.6,0.5266203174060586,0.47337968259394136,"Colonies are found attached to hard substrate: fragments of coral skeleton, large flagstone of limestone and <em>Ophiolite bedrock</em>. They have been found between 4-22 m depth in mixed communities dominated by <em>Cyphastrea</em>, <em>Leptastrea</em>, <em>Favites</em>, <em>Porites</em>, and <em>Goniopora</em> on the lower part of the reef, in areas with cold upwellings. Colonies are very sensitive to even slight changes in water pressure or movement and respond readily to the slightest disturbance by retracting the polyps (Claereboudt and Al-Amri 2004).",FALSE,22,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132863,shallow,6171908.79,11549973.35,0.5343656303761082,0.4656343696238918,"This species occurs in shallow, tropical reef environments on reef slopes and in lagoons.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",TRUE,NA,TRUE,TRUE,CORALS_Part3,Acropora prostrata,Anthozoa,SLB-93516,NA,12767200.0,8227951.7,15112684.0,5882467.689184188,AM,71.494,64.446,3.446,Corals,20
132864,shallow,9117877.16,16491362.11,0.5528880573467683,0.44711194265323173,This species is found on lower reef slopes and sandy reef base. The depth range is from 3-30 m (Hoeksema 1990). The maximum size is 12 cm diameter and the generation length is approximately seven years. This is a free-living single polyp.,FALSE,30,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132865,shallow,454705.8,583557.32,0.7791964635110739,0.22080353648892614,"This species is only found in shallow, partly wave washed rocky foreshores nested among algae and soft corals. The depth range is unknown for this species. It is estimated to take three years for a colony of <em>A. japonica</em> to reach sexual maturity (Harii <em>et al</em>. 2001).",FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132866,shallow,8903916.37,15616627.11,0.5701561743955862,0.4298438256044138,"This species occurs in shallow, tropical reef environments. It is commonly found on fringing reef flats, and also other reef habitats. This species is found from 1 m to at least 20 m.",TRUE,20,TRUE,TRUE,CORALS_Part3,Montipora angulata,Anthozoa,URM-Cn-4877,NA,17242193.6,11276148.4,19828875.9,8689466.104152283,AM,77.061,65.399,4.654,Corals,39
132869,shallow,10825648.21,21580372.11,0.5016432596629586,0.49835674033704136,"This species occurs in shallow reef environments. This species is found subtidally on reef tops, walls and slopes to 30 m (Wallace 1999).",TRUE,30,TRUE,TRUE,CORALS_Part1,Acropora florida,Anthozoa,URM-Cn-4750,1,23615392.7,10313593.3,24686381.6,9242604.379089657,AM,89.616,43.673,6.375,Corals,202
132870,shallow,7165360.84,10213511.59,0.701557028340338,0.29844297165966205,"This species is restricted to turbid water with muddy substrates. It is also occurs in muddy areas exposed at low tide. This species occurs in shallow, tropical reef environments. Colonies are generally small, consisting of one or several corallites, and are often unattached (Wood 1983). This species is found on the back and foreslope of the reef and in lagoons. This species is found to 10 m.",FALSE,10,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132871,shallow,5185205.38,11478959.02,0.45171390288664,0.5482860971133601,"It is found on lower reef slopes and sandy substrates, especially with turbid water. This is a branching <em>Pectinia</em> species. <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. elongata</em> colonies grow up to 30 cm (Fenner pers. comm). This species is found to 25 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. elongata</em> is very conspicuous.",TRUE,25,TRUE,TRUE,CORALS_Part1,Pectinia elongata,Anthozoa,URM-Cn-5952,NA,12521729.4,2042694.5,12757198.9,1807224.9918294954,AM,88.473,16.313,3.38,Corals,3
132872,shallow,5186681.76,7826913.029999999,0.6626727216873138,0.33732727831268616,"This species occurs in protected reef environments, typically in shallow water. This species is found on subtidal rock and rocky reefs, on the back and foreslope, and in lagoons.",FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132873,shallow,5641737.25,9838180.52,0.5734533167521102,0.4265466832478898,"This species is found on back reef margins, generally to depths of 20 m.",FALSE,20,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132874,shallow,1629012.65,2917377.3899999997,0.5583825581098372,0.44161744189016283,"This species is found at intermediate to deep fore reef and lagoon habitats, edges of channels, and at the base of the reef, in hard ground areas and in soft substrate. Occurs from 10-80 m (Reed 1985) though most common from 15-25 m.",TRUE,80,FALSE,TRUE,CORALS_Part1,Scolymia lacera,Anthozoa,URM-Cn-5888,NA,3277527.9,2190123.2,5040047.9,427603.2244706805,AM,19.524,66.822,0.885,Corals,4
132875,shallow,2588399.38,4283849.25,0.6042227979894483,0.39577720201055167,This species is found in shallow exposed reef environments. The colonies are small. This species is found from 5-40 m.,TRUE,40,TRUE,TRUE,CORALS_Part3,Pocillopora kelleheri,Anthozoa,URM-Cn-5982,NA,4691240.7,5667840.2,8274258.0,2084822.8942317723,IUCN,44.441,82.769,1.53,Corals,11
132876,shallow,4356010.03,7747082.03,0.562277514699299,0.437722485300701,It is found in deep water and on vertical walls. Maximum size is 20 cm. This species is found from 15-25 m.,TRUE,25,FALSE,TRUE,CORALS_Part1,Leptoseris tubulifera,Anthozoa,URM-Cn-4973,NA,8773659.8,3307910.3,9778860.2,2302709.9469815735,AM,69.612,37.703,2.368,Corals,4
