am_sid,sciname,iucn_id,sciname_worrms,status,sciname_accepted,am_name_ver
Fis-156671,Abalistes filamentosus,NA,Abalistes filamentosus,accepted,Abalistes filamentosus,TRUE
Fis-53544,Abalistes stellaris,NA,Abalistes stellaris,accepted,Abalistes stellaris,TRUE
Fis-142700,Abalistes stellatus,NA,Abalistes stellatus,accepted,Abalistes stellatus,TRUE
Fis-27725,Ablabys taenianotus,NA,Ablabys taenianotus,accepted,Ablabys taenianotus,TRUE
Fis-22975,Ablennes hians,NA,Ablennes hians,accepted,Ablennes hians,TRUE
Fis-26241,Abudefduf abdominalis,NA,Abudefduf abdominalis,accepted,Abudefduf abdominalis,TRUE
Fis-26166,Abudefduf bengalensis,NA,Abudefduf bengalensis,accepted,Abudefduf bengalensis,TRUE
Fis-28205,Abudefduf concolor,183483,Abudefduf concolor,accepted,Abudefduf concolor,TRUE
Fis-136667,Abudefduf declivifrons,183460,Abudefduf declivifrons,accepted,Abudefduf declivifrons,TRUE
Fis-31491,Abudefduf lorenzi,NA,Abudefduf lorenzi,accepted,Abudefduf lorenzi,TRUE
Fis-28218,Abudefduf luridus,NA,Abudefduf luridus,accepted,Abudefduf luridus,TRUE
Fis-25761,Abudefduf notatus,NA,Abudefduf notatus,accepted,Abudefduf notatus,TRUE
Fis-23318,Abudefduf saxatilis,NA,Abudefduf saxatilis,accepted,Abudefduf saxatilis,TRUE
Fis-25762,Abudefduf septemfasciatus,NA,Abudefduf septemfasciatus,accepted,Abudefduf septemfasciatus,TRUE
Fis-25763,Abudefduf sexfasciatus,NA,Abudefduf sexfasciatus,accepted,Abudefduf sexfasciatus,TRUE
Fis-25764,Abudefduf sordidus,NA,Abudefduf sordidus,accepted,Abudefduf sordidus,TRUE
Fis-26803,Abudefduf sparoides,NA,Abudefduf sparoides,accepted,Abudefduf sparoides,TRUE
Fis-23319,Abudefduf taurus,NA,Abudefduf taurus,accepted,Abudefduf taurus,TRUE
Fis-26922,Abudefduf troschelii,183397,Abudefduf troschelii,accepted,Abudefduf troschelii,TRUE
Fis-26228,Abudefduf vaigiensis,NA,Abudefduf vaigiensis,accepted,Abudefduf vaigiensis,TRUE
Fis-33558,Abudefduf whitleyi,NA,Abudefduf whitleyi,accepted,Abudefduf whitleyi,TRUE
Fis-50764,Abyssobrotula galatheae,NA,Abyssobrotula galatheae,accepted,Abyssobrotula galatheae,TRUE
Fis-22077,Acanthaluteres brownii,NA,Acanthaluteres brownii,accepted,Acanthaluteres brownii,TRUE
Fis-125479,Acanthaluteres spilomelanurus,NA,Acanthaluteres spilomelanurus,accepted,Acanthaluteres spilomelanurus,TRUE
Fis-119913,Acanthaluteres vittiger,NA,Acanthaluteres vittiger,accepted,Acanthaluteres vittiger,TRUE
Fis-115260,Acanthaphritis barbata,NA,Acanthaphritis barbata,accepted,Acanthaphritis barbata,TRUE
Fis-24397,Acanthemblemaria aspera,NA,Acanthemblemaria aspera,accepted,Acanthemblemaria aspera,TRUE
Fis-113559,Acanthemblemaria balanorum,183400,Acanthemblemaria balanorum,accepted,Acanthemblemaria balanorum,TRUE
Fis-58221,Acanthemblemaria castroi,183873,Acanthemblemaria castroi,accepted,Acanthemblemaria castroi,TRUE
Fis-113560,Acanthemblemaria crockeri,183505,Acanthemblemaria crockeri,accepted,Acanthemblemaria crockeri,TRUE
Fis-113577,Acanthemblemaria exilispinus,183629,Acanthemblemaria exilispinus,accepted,Acanthemblemaria exilispinus,TRUE
Fis-113583,Acanthemblemaria hancocki,183841,Acanthemblemaria hancocki,accepted,Acanthemblemaria hancocki,TRUE
Fis-113588,Acanthemblemaria macrospilus,183219,Acanthemblemaria macrospilus,accepted,Acanthemblemaria macrospilus,TRUE
Fis-49730,Acanthemblemaria maria,NA,Acanthemblemaria maria,accepted,Acanthemblemaria maria,TRUE
Fis-49731,Acanthemblemaria spinosa,NA,Acanthemblemaria spinosa,accepted,Acanthemblemaria spinosa,TRUE
Fis-22840,Acanthistius brasilianus,154987,Acanthistius brasilianus,accepted,Acanthistius brasilianus,TRUE
Fis-29237,Acanthistius ocellatus,155326,Acanthistius ocellatus,accepted,Acanthistius ocellatus,TRUE
Fis-26768,Acanthistius sebastoides,NA,Acanthistius sebastoides,accepted,Acanthistius sebastoides,TRUE
Fis-29238,Acanthistius serratus,NA,Acanthistius serratus,accepted,Acanthistius serratus,TRUE
Fis-27781,Acanthocepola abbreviata,NA,Acanthocepola abbreviata,accepted,Acanthocepola abbreviata,TRUE
Fis-62878,Acanthocepola krusensternii,NA,Acanthocepola krusensternii,accepted,Acanthocepola krusensternii,TRUE
Fis-27337,Acanthocepola limbata,NA,Acanthocepola limbata,accepted,Acanthocepola limbata,TRUE
Fis-131546,Acanthochaenus luetkenii,NA,Acanthochaenus luetkenii,accepted,Acanthochaenus luetkenii,TRUE
Fis-26242,Acanthochromis polyacanthus,NA,Acanthochromis polyacanthus,accepted,Acanthochromis polyacanthus,TRUE
Fis-26619,Acantholabrus palloni,186106,Acantholabrus palloni,accepted,Acantholabrus palloni,TRUE
Fis-24399,Acantholumpenus mackayi,NA,Acantholumpenus mackayi,accepted,Acantholumpenus mackayi,TRUE
Fis-33095,Acanthonus armatus,NA,Acanthonus armatus,accepted,Acanthonus armatus,TRUE
Fis-26855,Acanthopagrus australis,NA,Acanthopagrus australis,accepted,Acanthopagrus australis,TRUE
Fis-25680,Acanthopagrus berda,NA,Acanthopagrus berda,accepted,Acanthopagrus berda,TRUE
Fis-25176,Acanthopagrus bifasciatus,NA,Acanthopagrus bifasciatus,accepted,Acanthopagrus bifasciatus,TRUE
Fis-29194,Acanthopagrus butcheri,NA,Acanthopagrus butcheri,accepted,Acanthopagrus butcheri,TRUE
Fis-26067,Acanthopagrus latus,NA,Acanthopagrus latus,accepted,Acanthopagrus latus,TRUE
Fis-150124,Acanthopagrus schlegelii,NA,Acanthopagrus schlegelii,alternate representation,Acanthopagrus schlegelii schlegelii,FALSE
Fis-51707,Acanthoplesiops hiatti,NA,Acanthoplesiops hiatti,accepted,Acanthoplesiops hiatti,TRUE
