spp_group,iucn_sid,sciname,class,am_sid,reviewed,area_iucn,area_am,area_total,area_overlap,sm_range,sm_perc,area_ratio,lg_area_pct,spp_group_text,occurcells,n_spp,quad
MARINE_MAMMALS,2055,Arctocephalus australis,Mammalia,ITS-Mam-180633,1,2507693.2,2534036.9,3023917.8,2017812.2847574037,IUCN,80.465,98.96,0.684,Marine Mammals,44,105,q1
MARINE_MAMMALS,2057,Arctocephalus galapagoensis,Mammalia,ITS-Mam-180634,1,159989.9,119996.8,184604.8,95381.86142119093,AM,79.487,75.003,0.043,Marine Mammals,13,105,q1
MARINE_MAMMALS,2058,Arctocephalus gazella,Mammalia,ITS-Mam-180630,1,18196138.8,48628461.9,48860395.6,17964205.038253427,IUCN,98.725,37.419,13.126,Marine Mammals,1565,105,q2
MARINE_MAMMALS,2059,Arctocephalus philippii,Mammalia,ITS-180635,1,4075352.8,3979835.1,5065807.5,2989380.377067024,AM,75.113,97.656,1.1,Marine Mammals,0,105,q1
MARINE_MAMMALS,2060,Arctocephalus pusillus,Mammalia,ITS-Mam-180629,1,1570332.4,1851246.6,2280992.8,1140586.186458992,IUCN,72.633,84.826,0.5,Marine Mammals,66,105,q1
MARINE_MAMMALS,2061,Arctocephalus townsendi,Mammalia,ITS-Mam-180636,1,1520243.7,1961328.9,2517251.5,964321.0730494473,IUCN,63.432,77.511,0.529,Marine Mammals,29,105,q1
MARINE_MAMMALS,2062,Arctocephalus tropicalis,Mammalia,ITS-Mam-180632,NA,14198308.7,38856793.7,41905343.6,11149758.895279331,IUCN,78.529,36.54,10.489,Marine Mammals,65,105,q2
MARINE_MAMMALS,2467,Balaena mysticetus,Mammalia,ITS-Mam-180533,1,10830444.1,9521551.3,13307579.5,7044415.915152838,AM,73.984,87.915,2.923,Marine Mammals,79,105,q1
MARINE_MAMMALS,2474,Balaenoptera acutorostrata,Mammalia,ITS-Mam-180524,1,355056881.3,364700724.4,370463585.3,349294020.3933609,IUCN,98.377,97.356,98.444,Marine Mammals,2063,105,q1
MARINE_MAMMALS,2475,Balaenoptera borealis,Mammalia,ITS-Mam-180526,1,322615388.9,278490766.9,339116202.7,261989953.04329416,AM,94.075,86.323,87.084,Marine Mammals,1150,105,q1
