am_sid,sciname,iucn_sid,reviewed,occurcells,quad
Fis-113028,Torquigener randalli,193689,NA,6,q4
Fis-113542,Meiacanthus tongaensis,48342099,NA,5,q3
Fis-134599,Pseudocheilinus citrinus,187741,NA,5,q3
Fis-135071,Coris roseoviridis,187603,NA,6,q3
Fis-140176,Xyrichtys mundiceps,183754,NA,6,q4
Fis-159824,Oxycheilinus lineatus,187737,NA,3,q3
Fis-21839,Scarus dubius,154706,NA,8,q4
Fis-23820,Sphoeroides testudineus,193813,NA,185,q3
Fis-25000,Sphoeroides lobatus,183276,NA,106,q3
Fis-25618,Sphoeroides greeleyi,193632,NA,31,q3
Fis-26971,Pomacanthus zonipectus,165889,NA,95,q3
Fis-26972,Halichoeres notospilus,155076,NA,98,q3
Fis-34254,Centropyge hotumatua,165830,NA,5,q3
Fis-34362,Genicanthus spinus,165846,NA,3,q3
Fis-34881,Chromis limbaughi,183452,NA,11,q3
Fis-35236,Chaetodon trichrous,165679,NA,11,q4
Fis-35297,Chaetodon smithi,165675,NA,3,q4
Fis-35654,Halichoeres chierchiae,183378,NA,50,q3
Rep-3445,Crocodylus acutus,5659,NA,65,q3
SLB-170297,Galearctus rapanus,184986,NA,3,q4
SLB-184805,Polycheles tanneri,185067,NA,8,q3
SLB-184857,Bathyarctus faxoni,185077,NA,38,q4
SLB-184906,Eduarctus modestus,184997,NA,7,q4
W-Hol-152565,Pseudostichopus mollis,180381,NA,4,q4
Fis-112900,Halichoeres stigmaticus,187465,NA,4,q4
Fis-113013,Antennablennius hypenetes,46079239,NA,13,q3
Fis-113018,Antennablennius variopunctatus,46079321,NA,17,q3
Fis-113024,Parablennius opercularis,46079911,NA,10,q3
Fis-123148,Chlorurus atrilunula,190699,NA,12,q3
Fis-127099,Alloblennius anuchalis,48319933,NA,4,q4
Fis-134084,Lagocephalus suezensis,193628,NA,6,q4
Fis-145609,Bodianus trilineatus,187753,NA,14,q3
Fis-150910,Canthigaster natalensis,193695,NA,7,q4
Fis-169691,Hemigymnus sexfasciatus,187551,NA,5,q3
Fis-26496,Epinephelus chabaudi,195291,NA,15,q4
Fis-26772,Crenidens crenidens,170216,NA,42,q3
Fis-26807,Pteragogus taeniops,187795,NA,14,q3
Fis-26821,Antennablennius bifilum,46079226,NA,38,q3
Fis-28014,Apolemichthys xanthotis,165853,NA,15,q3
Fis-28087,Pomacanthus asfur,165839,NA,22,q3
Fis-28312,Zebrasoma xanthurum,178009,NA,30,q3
Fis-28625,Plagiotremus townsendi,46080101,NA,10,q3
Fis-29116,Bodianus macrognathos,187683,NA,14,q3
Fis-29128,Scarus fuscopurpureus,190714,NA,10,q3
Fis-29129,Chlorurus genazonatus,190758,NA,4,q4
Fis-32586,Polysteganus coeruleopunctatus,170215,NA,30,q3
Fis-32634,Chaetodon blackburnii,165709,NA,30,q3
Fis-32637,Halichoeres lapillus,187691,NA,14,q3
Fis-32641,Antennablennius australis,46079217,NA,18,q3
Fis-32653,Chaetodon leucopleura,165610,NA,20,q3
Fis-33074,Chaetodon dolosus,165654,NA,30,q3
Fis-35096,Chaetodon semilarvatus,165670,NA,17,q3
Fis-35167,Chromis pembae,154856,NA,18,q3
Fis-35234,Chaetodon nigropunctatus,165696,NA,12,q4
Fis-35341,Meiacanthus mossambicus,48342164,NA,14,q3
Fis-35828,Scarus persicus,190765,NA,10,q4
Fis-50498,Alloblennius parvus,48320397,NA,12,q3
Fis-50553,Parablennius pilicornis,198774,NA,74,q3
Fis-58066,Chaetodon mesoleucos,165618,NA,10,q3
Fis-58115,Ecsenius nalolo,48342458,NA,38,q3
Fis-58779,Larabicus quadrilineatus,187526,NA,15,q3
Fis-60581,Torquigener flavimaculosus,193703,NA,20,q3
Fis-60896,Halichoeres leptotaenia,187790,NA,3,q4
SLB-158798,Porites columnaris,133096,NA,6,q3
SLB-184866,Biarctus pumilus,185089,NA,5,q3
SLB-184903,Eduarctus lewinsohni,184995,NA,7,q4
