am_sid,lim,sciname,iucn_sid,reviewed,occurcells,quad
Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,w_lim,Chelarctus cultrifer,185080,NA,36,q3
Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,w_lim,Scammarctus batei,169978,NA,57,q3
Fis-10516,w_lim,Aspidontus tractus,48342166,NA,12,q3
Fis-113029,w_lim,Parablennius thysanius,46079924,NA,14,q4
Fis-114324,w_lim,Chlorurus rhakoura,190767,NA,4,q4
Fis-119366,w_lim,Chlorurus oedema,190746,NA,19,q4
Fis-123148,w_lim,Chlorurus atrilunula,190699,NA,12,q3
Fis-123150,w_lim,Chlorurus enneacanthus,190692,NA,23,q3
Fis-142138,w_lim,Halichoeres nigrescens,187600,NA,134,q3
Fis-145104,w_lim,Terelabrus rubrovittatus,187525,NA,7,q4
Fis-145167,w_lim,Ctenochaetus truncatus,177992,NA,56,q3
Fis-145556,w_lim,Pseudojuloides severnsi,187645,NA,7,q4
Fis-145609,w_lim,Bodianus trilineatus,187753,NA,14,q3
Fis-146179,w_lim,Iniistius pentadactylus,187411,NA,54,q3
Fis-146734,w_lim,Naso tonganus,177951,NA,69,q3
Fis-150910,w_lim,Canthigaster natalensis,193695,NA,7,q4
Fis-153058,w_lim,Iniistius bimaculatus,187727,NA,9,q4
Fis-159650,w_lim,Iniistius griffithsi,187657,NA,6,q4
Fis-161121,w_lim,Albula oligolepis,194301,NA,16,q4
Fis-163700,w_lim,Canthigaster cyanospilota,193799,NA,19,q3
Fis-163782,w_lim,Epinephelus compressus,132772,NA,55,q3
Fis-166561,w_lim,Iniistius twistii,187539,NA,11,q3
Fis-21777,w_lim,Macropharyngodon cyanoguttatus,187667,NA,7,q3
Fis-25098,w_lim,Cirripectes castaneus,48342513,NA,198,q3
Fis-25131,w_lim,Epinephelus tauvina,132758,NA,250,q3
Fis-25285,w_lim,Acanthurus sohal,177987,NA,22,q4
Fis-25350,w_lim,Pseudojuloides cerasinus,187626,NA,88,q3
Fis-25351,w_lim,Halichoeres argus,187451,NA,94,q3
Fis-25575,w_lim,Epinephelus morrhua,132745,NA,131,q3
Fis-25576,w_lim,Variola louti,132738,NA,239,q3
Fis-25650,w_lim,Chelmon rostratus,165659,NA,142,q3
Fis-25711,w_lim,Cymolutes torquatus,187530,NA,31,q3
Fis-25736,w_lim,Thalassoma lutescens,183985,NA,200,q4
Fis-26098,w_lim,Arothron meleagris,193662,NA,106,q3
Fis-26116,w_lim,Cephalopholis aurantia,132725,NA,94,q3
Fis-26119,w_lim,Cephalopholis formosa,132743,NA,61,q3
Fis-26142,w_lim,Epinephelus polyphekadion,61339,NA,129,q3
Fis-26180,w_lim,Canthigaster valentini,193796,NA,245,q3
Fis-26221,w_lim,Genicanthus lamarck,165888,NA,52,q3
Fis-26244,w_lim,Epinephelus hexagonatus,132778,1,161,q3
Fis-26245,w_lim,Epinephelus macrospilos,132766,NA,102,q3
Fis-26249,w_lim,Canthigaster rivulata,193705,NA,133,q4
Fis-26337,w_lim,Choerodon robustus,187747,NA,38,q4
Fis-26339,w_lim,Naso thynnoides,177980,NA,48,q3
Fis-26340,w_lim,Naso minor,177975,NA,17,q3
Fis-26598,w_lim,Mimoblennius atrocinctus,48342174,NA,24,q4
Fis-26618,w_lim,Zebrasoma gemmatum,177973,NA,14,q3
Fis-26660,w_lim,Bodianus leucosticticus,187690,NA,19,q4
Fis-26672,w_lim,Bodianus perditio,187781,NA,76,q4
Fis-26673,w_lim,Coris formosa,187664,NA,45,q3
Fis-26703,w_lim,Centropyge fisheri,165828,NA,49,q3
Fis-26749,w_lim,Parachaetodon ocellatus,165661,NA,178,q3
Fis-26806,w_lim,Pteragogus flagellifer,187684,NA,53,q3
Fis-26807,w_lim,Pteragogus taeniops,187795,NA,14,q3
Fis-26952,w_lim,Takifugu oblongus,193810,NA,55,q3
Fis-27845,w_lim,Leptojulis cyanopleura,187797,NA,59,q3
Fis-27908,w_lim,Teixeirichthys jordani,154915,NA,36,q4
Fis-28015,w_lim,Apolemichthys xanthurus,165844,NA,28,q4
Fis-28065,w_lim,Genicanthus caudovittatus,165845,NA,19,q3
Fis-28151,w_lim,Pseudocoris heteroptera,187688,NA,22,q3
Fis-28622,w_lim,Canthigaster margaritata,193655,NA,29,q4
Fis-29507,w_lim,Scomber japonicus,170306,NA,269,q4
Fis-30944,w_lim,Cirripectes auritus,48342105,NA,20,q3
Fis-31087,w_lim,Acanthurus blochii,177971,1,159,q4
Fis-31135,w_lim,Anampses geographicus,187710,NA,70,q3
Fis-31413,w_lim,Epinephelus tukula,132773,NA,81,q4
Fis-31624,w_lim,Naso tuberosus,178003,NA,21,q3
Fis-31843,w_lim,Epinephelus magniscuttis,132784,NA,26,q4
Fis-31844,w_lim,Epinephelus melanostigma,132746,NA,98,q3
Fis-32417,w_lim,Laiphognathus multimaculatus,48342362,NA,55,q3
Fis-32418,w_lim,Ecsenius lineatus,48342329,NA,40,q3
Fis-32459,w_lim,Naso fageni,177962,NA,23,q4
Fis-32511,w_lim,Gomphosus caeruleus,187569,NA,69,q4
Fis-32535,w_lim,Anampses lineatus,187639,NA,31,q4
Fis-32538,w_lim,Chaetodon collare,165723,NA,46,q4
Fis-32579,w_lim,Scarus russelii,190706,NA,25,q3
Fis-32580,w_lim,Scarus scaber,190700,NA,51,q4
Fis-32587,w_lim,Rhabdosargus thorpei,170164,1,19,q3
Fis-32637,w_lim,Halichoeres lapillus,187691,NA,14,q3
Fis-33074,w_lim,Chaetodon dolosus,165654,NA,30,q3
Fis-33082,w_lim,Chaetodon mitratus,165666,NA,17,q3
Fis-33723,w_lim,Alticus monochrus,48321151,NA,13,q3
Fis-33881,w_lim,Chaetodon decussatus,165648,NA,24,q3
Fis-34191,w_lim,Centropyge eibli,165855,NA,30,q3
Fis-35089,w_lim,Chaetodon fasciatus,165705,NA,25,q4
Fis-35351,w_lim,Cirrhilabrus rubriventralis,187726,NA,7,q4
Fis-35467,w_lim,Arothron caeruleopunctatus,193599,NA,21,q3
Fis-35632,w_lim,Salarias sinuosus,158632,NA,53,q3
Fis-46974,w_lim,Halichoeres zeylonicus,187534,NA,30,q4
Fis-47953,w_lim,Blenniella gibbifrons,48342422,NA,71,q3
Fis-47995,w_lim,Istiblennius bellus,48342134,NA,41,q4
Fis-50498,w_lim,Alloblennius parvus,48320397,NA,12,q3
Fis-50532,w_lim,Mimoblennius rusi,48342290,NA,6,q4
Fis-53986,w_lim,Choerodon gymnogenys,187471,NA,14,q4
Fis-5681,w_lim,Chlorurus gibbus,190753,NA,32,q4
Fis-57938,w_lim,Halichoeres cosmetus,187467,NA,41,q3
Fis-57950,w_lim,Chlorurus strongylocephalus,190742,NA,30,q4
Fis-58059,w_lim,Apolemichthys kingi,154809,NA,7,q3
Fis-58115,w_lim,Ecsenius nalolo,48342458,NA,38,q3
Fis-58537,w_lim,Halichoeres trispilus,187750,NA,9,q3
Fis-58799,w_lim,Salarias alboguttatus,48342516,NA,34,q3
Fis-59608,w_lim,Pereulixia kosiensis,46080027,NA,18,q3
Fis-60581,w_lim,Torquigener flavimaculosus,193703,NA,20,q3
Fis-62298,w_lim,Entomacrodus niuafoouensis,48342201,NA,30,q4
Fis-62867,w_lim,Entomacrodus epalzeocheilos,48342383,NA,25,q4
Fis-63983,w_lim,Chlorurus sordidus,190715,1,267,q3
Fis-8368,w_lim,Scarus tricolor,190704,NA,51,q3
Fis-9972,w_lim,Ecsenius midas,48342333,NA,56,q3
ITS-199950,w_lim,Scyllarides haanii,169954,1,17,q4
ITS-552914,w_lim,Acanthacaris tenuimana,169962,NA,13,q4
ITS-552985,w_lim,Puerulus angulatus,170080,NA,54,q4
ITS-553013,w_lim,Ibacus novemdentatus,170023,NA,35,q4
ITS-660111,w_lim,Pentacheles snyderi,185061,NA,5,q4
ITS-660231,w_lim,Panulirus femoristriga,170031,NA,13,q4
ITS-677526,w_lim,Enoplometopus occidentalis,185060,NA,17,q3
