am_sid,env_area,geom_area,reviewed,occurcells,sciname,geom_area_per_cells,env_area_per_cells,clipped
Biv-32126,377928.729,642706.64,null,4,Corbicula japonica,160676.66,94482.18225,FALSE
Biv-32832,6876387.5132,7589672.98,null,23,Polymesoda erosa,329985.78173913044,298973.37013913045,TRUE
Bra-235673,10208.2324,13895.960000000001,1,10,Dyscritosia secreta,1389.596,1020.82324,FALSE
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,4612331.7689,10048833.94,null,76,Lenisquilla lata,132221.49921052632,60688.57590657894,TRUE
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,8753073.3366,12760166.6,null,13,Clorida albolitura,981551.276923077,673313.3335846154,FALSE
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,20283402.5477,33846838.22,null,23,Leiogalathea laevirostris,1471601.6617391303,881887.0672913044,FALSE
Chn-08d9eb73-87c3-4b8a-8861-baf5b2862d8c,13350793.9309,18882228.03,null,116,Eduarctus martensii,162777.8278448276,115093.05112844828,FALSE
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,2535410.5512,4907195.71,null,4,Levisquilla jurichi,1226798.9275,633852.6378,TRUE
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,7212368.7608,8604293.28,null,5,Lophosquilla tiwarii,1720858.656,1442473.7521600001,TRUE
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,9726644.8381,13687080.61,null,45,Harpiosquilla annandalei,304157.34688888886,216147.66306888888,TRUE
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,3954189.8895,6075508.03,null,7,Cloridina pelamidae,867929.7185714286,564884.2699285714,FALSE
Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,6802953.8232,9707930.86,null,36,Chelarctus cultrifer,269664.7461111111,188970.93953333335,FALSE
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,5592353.8893,8542312.31,null,76,Oratosquillina perpensa,112398.84618421053,73583.60380657895,FALSE
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,9437970.7031,11806853.72,null,18,Quollastria subtilis,655936.3177777778,524331.7057277778,TRUE
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,3925098.5007,6854990.75,null,3,Neoacasta glans,2284996.9166666665,1308366.1669,FALSE
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,8330552.7245,10681475.36,null,17,Chorisquilla spinosissima,628322.08,490032.51320588234,TRUE
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,2144090.9113,3378277.5,null,4,Oratosquillina manningi,844569.375,536022.727825,FALSE
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,8427755.0754,11161016.74,null,29,Erugosquilla woodmasoni,384862.6462068966,290612.2439793104,TRUE
