iucn_sid,habitat,shallow
132859,"This species occurs in shallow, tropical reef environments. It is found only in subtidal turbid water, attached to wave washed rock. This species is found on subtidal rock and rocky reefs, the back slope, in lagoons, and on inter-reef rubble substrate. It may be found on the foreslope. This species is found to 10 m. <br/><br/><em>Oulastrea</em> is usually found in muddy areas on the shallow back reef and seldom occurs among dense coral on the fore reef (Wood 1983). It may be more abundant in degraded habitats where other coral species have disappeared, e.g., Jakarta Bay.",T
132860,"<em>Psammocora stellata</em> occurs on shallow wave washed rock, or at depths of 15-20 m depth on coarse sand bottoms (Hickman 2005).<br/><br/>In general, <em>Psammocora</em> species are very slow growing corals; with a calculated growth rate of 0.6cm/year for <em>P. superficialis</em> in Costa Rica (GuzmÃ¡n and CortÃ©s 1993; GuzmÃ¡n and CortÃ©s 1989). Sexual reproduction is important, but asexual reproduction and fragmentation are more effective strategies for colonizing free areas within the reef (CortÃ©s and GuzmÃ¡n 1998). <em>Psammocora</em> species are considered to be amongst the most opportunistic species because of the capacity to rapidly recolonize open areas after disturbances (GuzmÃ¡n and CortÃ©s 2001).",T
132863,"This species occurs in shallow, tropical reef environments on reef slopes and in lagoons.<br/><br/>General genus information: throughout its range, <em>Acropora</em> can be found on any stretch of reef and is often the dominant coral, especially along the reef front. Staghorn and plate forms flourish in sheltered areas, whereas clusters and semi-massive types can withstand more exposed conditions. Species that occur from the reef top to the reef slope become gradually more flattened with depth (Wood 1983).",T
132864,This species is found on lower reef slopes and sandy reef base. The depth range is from 3-30 m (Hoeksema 1990). The maximum size is 12 cm diameter and the generation length is approximately seven years. This is a free-living single polyp.,T
132866,"This species occurs in shallow, tropical reef environments. It is commonly found on fringing reef flats, and also other reef habitats. This species is found from 1 m to at least 20 m.",T
132869,"This species occurs in shallow reef environments. This species is found subtidally on reef tops, walls and slopes to 30 m (Wallace 1999).",T
132871,"It is found on lower reef slopes and sandy substrates, especially with turbid water. This is a branching <em>Pectinia</em> species. <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. elongata</em> colonies grow up to 30 cm (Fenner pers. comm). This species is found to 25 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. elongata</em> is very conspicuous.",T
132874,"This species is found at intermediate to deep fore reef and lagoon habitats, edges of channels, and at the base of the reef, in hard ground areas and in soft substrate. Occurs from 10-80 m (Reed 1985) though most common from 15-25 m.",T
132875,This species is found in shallow exposed reef environments. The colonies are small. This species is found from 5-40 m.,T
132876,It is found in deep water and on vertical walls. Maximum size is 20 cm. This species is found from 15-25 m.,T
132877,This species is found on reef slopes as free-living single polyp. The depth range is from 3-27 m (Hoeksema 1990). Maximum size is 15 cm in diameter. It reproduces asexually by budding (Hoeksema 2004). It is noteworthy to mention that this species has never been found with parasites.,T
132878,"This species occurs in shallow, tropical reef environments. It is found on upper to lower reef slopes from 3 m to at least 25 m. Sparse colonies of <em>F. maxima</em> are found from 9-15 m in the South China Sea and Gulf of Siam (Titlyanov and Titlyanova 2002). This species is found on subtidal rock and rocky reefs, in lagoons, and sometimes in inter-reef soft substrate. This species is found to 35 m.",T
132880,This species occurs in shallow reef environments. The maximum size is approximately 50 cm. This species is found from 2-20 m.,T
