iucn_sid,deep,deeparea,totarea,shallow_pct,habitat,paired_map,max_depth,shallow_str,shallow,am_sid,sciname,reviewed,popn_trend,popn_category,category_score,spp_group,id_no,spatial_source,name_verified,area_total,area_am,area_iucn,area_overlap,sm_perc,sm_range,area_ratio,lg_area_pct,spp_group_text,occurcells
132859,1,4471643.57,12439444.81,0.640527078314197,"This species occurs in shallow, tropical reef environments. It is found only in subtidal turbid water, attached to wave washed rock. This species is found on subtidal rock and rocky reefs, the back slope, in lagoons, and on inter-reef rubble substrate. It may be found on the foreslope. This species is found to 10 m. <br/><br/><em>Oulastrea</em> is usually found in muddy areas on the shallow back reef and seldom occurs among dense coral on the fore reef (Wood 1983). It may be more abundant in degraded habitats where other coral species have disappeared, e.g., Jakarta Bay.",TRUE,10,TRUE,TRUE,URM-Cn-5604,Oulastrea crispata,NA,Unknown,LC,0,CORALS_Part1,132859,iucn,TRUE,15499029,6143414.3,14064717.7,4709103.03885052,76.653,AM,43.68,3.797,Corals,16
132860,1,2601497.81,4211082.8,0.382225918236516,"<em>Psammocora stellata</em> occurs on shallow wave washed rock, or at depths of 15-20 m depth on coarse sand bottoms (Hickman 2005).<br/><br/>In general, <em>Psammocora</em> species are very slow growing corals; with a calculated growth rate of 0.6cm/year for <em>P. superficialis</em> in Costa Rica (Guzmán and Cortés 1993; Guzmán and Cortés 1989). Sexual reproduction is important, but asexual reproduction and fragmentation are more effective strategies for colonizing free areas within the reef (Cortés and Guzmán 1998). <em>Psammocora</em> species are considered to be amongst the most opportunistic species because of the capacity to rapidly recolonize open areas after disturbances (Guzmán and Cortés 2001).",TRUE,20,TRUE,TRUE,SLB-62998,Psammocora stellata,NA,Unknown,VU,0.4,CORALS_Part1,132860,iucn,TRUE,5709182.6,2432985.2,4553046.9,1276849.5439565,52.481,AM,53.436,1.229,Corals,18
132864,1,7373484.95,16491362.11,0.552888057346768,This species is found on lower reef slopes and sandy reef base. The depth range is from 3-30 m (Hoeksema 1990). The maximum size is 12 cm diameter and the generation length is approximately seven years. This is a free-living single polyp.,TRUE,30,FALSE,TRUE,SLB-117548,Cycloseris costulata,NA,Unknown,LC,0,CORALS_Part3,132864,iucn,TRUE,19789283.1,5485177.6,18474797.6,4170692.08300752,76.036,AM,29.69,4.987,Corals,5
132866,1,6712710.74,15616627.11,0.570156174395586,"This species occurs in shallow, tropical reef environments. It is commonly found on fringing reef flats, and also other reef habitats. This species is found from 1 m to at least 20 m.",TRUE,20,TRUE,TRUE,URM-Cn-4877,Montipora angulata,NA,Decreasing,VU,0.4,CORALS_Part3,132866,iucn,TRUE,19828875.9,11276148.4,17242193.6,8689466.10415228,77.061,AM,65.399,4.654,Corals,39
132869,1,10754723.9,21580372.11,0.501643259662959,"This species occurs in shallow reef environments. This species is found subtidally on reef tops, walls and slopes to 30 m (Wallace 1999).",TRUE,30,TRUE,TRUE,URM-Cn-4750,Acropora florida,1,Decreasing,NT,0.2,CORALS_Part1,132869,iucn,TRUE,24686381.6,10313593.3,23615392.7,9242604.37908966,89.616,AM,43.673,6.375,Corals,202
132871,1,6293753.64,11478959.02,0.45171390288664,"It is found on lower reef slopes and sandy substrates, especially with turbid water. This is a branching <em>Pectinia</em> species. <em>Pectinia</em> colonies occasionally reach 1 m or more in diameter (Wood 1983). <em>P. elongata</em> colonies grow up to 30 cm (Fenner pers. comm). This species is found to 25 m. <br/><br/><em>Pectinia</em> occurs in most reef habitats, both in shallow and deep areas (Wood 1983). This genus is typically conspicuous (Veron 1995). <em>P. elongata</em> is very conspicuous.",TRUE,25,TRUE,TRUE,URM-Cn-5952,Pectinia elongata,NA,Unknown,NT,0.2,CORALS_Part1,132871,iucn,TRUE,12757198.9,2042694.5,12521729.4,1807224.9918295,88.473,AM,16.313,3.38,Corals,3
132874,1,1288364.74,2917377.39,0.558382558109837,"This species is found at intermediate to deep fore reef and lagoon habitats, edges of channels, and at the base of the reef, in hard ground areas and in soft substrate. Occurs from 10-80 m (Reed 1985) though most common from 15-25 m.",TRUE,80,FALSE,TRUE,URM-Cn-5888,Scolymia lacera,NA,Unknown,LC,0,CORALS_Part1,132874,iucn,TRUE,5040047.9,2190123.2,3277527.9,427603.224470681,19.524,AM,66.822,0.885,Corals,4
132875,1,1695449.87,4283849.25,0.604222797989448,This species is found in shallow exposed reef environments. The colonies are small. This species is found from 5-40 m.,TRUE,40,TRUE,TRUE,URM-Cn-5982,Pocillopora kelleheri,NA,Stable,LC,0,CORALS_Part3,132875,iucn,TRUE,8274258,5667840.2,4691240.7,2084822.89423177,44.441,IUCN,82.769,1.53,Corals,11
132876,1,3391072,7747082.03,0.562277514699299,It is found in deep water and on vertical walls. Maximum size is 20 cm. This species is found from 15-25 m.,TRUE,25,FALSE,TRUE,URM-Cn-4973,Leptoseris tubulifera,NA,Unknown,LC,0,CORALS_Part1,132876,iucn,TRUE,9778860.2,3307910.3,8773659.8,2302709.94698157,69.612,AM,37.703,2.368,Corals,4
132877,1,2742586.76,5679548.74,0.517111854206924,This species is found on reef slopes as free-living single polyp. The depth range is from 3-27 m (Hoeksema 1990). Maximum size is 15 cm in diameter. It reproduces asexually by budding (Hoeksema 2004). It is noteworthy to mention that this species has never been found with parasites.,TRUE,27,FALSE,TRUE,URM-Cn-5759,Fungia fralinae,NA,Unknown,LC,0,CORALS_Part3,132877,iucn,TRUE,6593618.8,1891394.3,6414326.8,1712102.37163011,90.521,AM,29.487,1.731,Corals,3
